simulation,RandomForest_acc,RandomForest_features,XGBoost_acc,XGBoost_features,LassoNet_acc,LassoNet_features,LASSO_QUT_acc,LASSO_QUT_features,HarderLASSO_QUT_acc,HarderLASSO_QUT_features,LASSO_CV_acc,LASSO_CV_features,linear_LASSO_QUT_acc,linear_LASSO_QUT_features,linear_HarderLASSO_QUT_acc,linear_HarderLASSO_QUT_features
0,0.8485273492286115,"0,19,20,21",0.8990182328190743,"0,4,9,12,13,18,20",0.8863955119214586,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22",0.8653576437587658,"0,20",0.9004207573632539,"0,18,20",0.876577840112202,"0,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21,22",0.82328190743338,"0,20",0.8106591865357644,0
1,0.8288920056100981,"0,19,20,21",0.8892005610098177,"0,4,11,12,13,16,18,20",0.8737727910238429,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22",0.8120617110799438,0,0.876577840112202,"0,18,20",0.8499298737727911,"0,2,3,4,7,8,9,11,12,13,16,17,18,19,20,21,22",0.7966339410939691,"0,20",0.7769985974754559,0
2,0.8387096774193549,"0,19,20",0.8962131837307152,"0,4,11,12,18,20",0.8653576437587658,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22",0.8751753155680224,"0,15,18,20",0.8835904628330996,"0,18,20",0.8653576437587658,"0,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21,22",0.8176718092566619,"0,20",0.8457223001402524,"0,18,20"
3,0.8485273492286115,"0,19,20",0.8863955119214586,"0,4,11,12,13,18,20",0.8569424964936886,"0,2,3,4,5,11,12,13,14,15,18,20,21",0.8387096774193549,"0,15,20",0.8807854137447405,"0,18,20",0.85273492286115,"0,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21,22",0.8064516129032258,"0,20",0.8064516129032258,"0,20"
4,0.8246844319775596,"0,19,20,21",0.9004207573632539,"0,4,11,12,18,20",0.8541374474053296,"0,7,11,12,15,18,20,21",0.876577840112202,"0,18,20",0.876577840112202,"0,18,20",0.8737727910238429,"0,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21,22",0.8302945301542777,"0,20",0.8302945301542777,"0,20"
5,0.8345021037868162,"0,19,20",0.8948106591865358,"0,4,9,12,18,20",0.876577840112202,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22",0.8583450210378681,"0,20",0.8330995792426368,"0,18",0.8569424964936886,"0,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21,22",0.8190743338008415,"0,20",0.8176718092566619,"0,18"
6,0.8541374474053296,"0,19,20",0.8948106591865358,"0,11,12,13,18,20",0.8906030855539971,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22",0.9018232819074332,"0,15,18,20",0.8709677419354839,"0,15,18",0.8639551192145862,"0,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21,22",0.8330995792426368,"0,20",0.8457223001402524,"0,18"
7,0.8457223001402524,"0,19,20,21",0.879382889200561,"0,4,11,13,18,20",0.8835904628330996,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22",0.8639551192145862,"0,15,20",0.8877980364656382,"0,18,20",0.8625525946704067,"0,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21,22",0.82328190743338,"0,20",0.8457223001402524,"0,18,20"
8,0.8359046283309958,"0,19,20,21",0.8948106591865358,"0,4,5,11,12,13,18,20",0.8835904628330996,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22",0.8709677419354839,"0,15,20",0.9018232819074332,"0,15,18,20",0.8653576437587658,"0,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21,22",0.8359046283309958,"0,20",0.8569424964936886,"0,18,20"
9,0.8429172510518934,"0,19,20,21",0.8681626928471248,"0,6,9,11,18,20",0.8737727910238429,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22",0.8653576437587658,"0,15,20",0.8821879382889201,"0,18,20",0.8583450210378681,"0,1,2,3,4,6,7,8,9,11,12,15,16,18,19,20,21,22",0.8218793828892006,"0,20",0.82328190743338,"0,18"
