simulation,RandomForest_acc,RandomForest_features,XGBoost_acc,XGBoost_features,LassoNet_acc,LassoNet_features,LASSO_QUT_acc,LASSO_QUT_features,HarderLASSO_QUT_acc,HarderLASSO_QUT_features,LASSO_CV_acc,LASSO_CV_features,linear_LASSO_QUT_acc,linear_LASSO_QUT_features,linear_HarderLASSO_QUT_acc,linear_HarderLASSO_QUT_features
0,0.9230769230769232,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9270443024024686,"0,1,2,3,4,6,8,9,10,11,12,13,15",0.925281022702226,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9243993828521048,"1,2,4,6,10,11,12,14,15",0.9263830725148776,"1,4,5,10,12,15",0.9279259422525898,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.922195283226802,"0,2,4,5,6,10,12,13,15",0.9219748732642716,"2,4,5,6,10,12,13"
1,0.9283667621776504,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9292484020277716,"0,1,2,3,4,6,8,9,10,11,12,13,15",0.9261626625523474,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9272647123649989,"1,2,4,5,6,10,12,14,15",0.9257218426272869,"1,4,5,10,12,15",0.9272647123649989,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9246197928146352,"0,2,4,5,6,10,12,13,15",0.9230769230769232,"2,4,5,6,10,12,13"
2,0.9288075821027112,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9285871721401808,"0,1,2,3,4,6,8,9,10,11,12,13,15",0.9290279920652412,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9279259422525898,"1,2,4,6,10,12,14,15",0.922415693189332,"1,4,5,10,12",0.9314525016530748,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9274851223275292,"0,2,4,5,6,10,12,13,15",0.9230769230769232,"2,4,5,6,10,12,13"
3,0.915803394313423,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.922415693189332,"0,1,2,3,4,6,8,9,10,11,12,13,15",0.9147013445007716,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9171258540886048,"1,2,4,6,10,12,14,15",0.910733965175226,"1,4,5,10,12,15",0.9140401146131804,"0,1,2,3,4,5,6,7,8,9,10,12,13,14,15",0.9102931452501654,"0,2,4,5,6,10,12,13,15",0.9087502755124532,"2,4,5,6,10,12,13"
4,0.9235177430019836,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9263830725148776,"0,1,2,3,4,6,8,9,10,11,12,13,15",0.922195283226802,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9206524134890895,"1,2,4,5,6,10,12,14,15",0.9210932334141504,"1,4,5,10,12,15",0.9206524134890895,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9186687238263168,"0,2,4,5,6,10,12,13,15",0.9153625743883624,"0,2,4,5,10,12,13"
5,0.9274851223275292,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9334361913158474,"0,1,2,3,4,6,8,9,10,11,12,13,15",0.926603482477408,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9290279920652412,"1,2,4,6,10,12,14,15",0.9257218426272869,"1,4,5,10,12,15",0.9259422525898172,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9230769230769232,"0,2,4,5,6,10,12,13,15",0.922195283226802,"2,4,5,6,10,12,13"
6,0.9230769230769232,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9215340533392108,"0,1,2,3,4,6,8,9,10,11,12,13,15",0.9235177430019836,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.919329953713908,"0,1,2,4,5,6,10,12,14,15",0.9217544633017412,"1,4,5,10,12,15",0.9241789728895746,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9188891337888472,"0,2,4,5,6,10,12,13,15",0.9162442142384836,"0,2,4,5,6,10,12,13"
7,0.9228565131143928,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9299096319153626,"0,1,2,3,4,6,8,9,10,11,12,13,15",0.9246197928146352,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.923738152964514,"1,2,4,5,6,10,12,14,15",0.9243993828521048,"1,4,5,10,12,15",0.925060612739696,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9197707736389684,"0,2,4,5,6,10,12,13,15",0.916464624201014,"2,4,5,6,10,12,13"
8,0.9232973330394534,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9255014326647564,"0,1,2,3,4,6,8,9,10,11,12,13,15",0.9263830725148776,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9188891337888472,"0,1,2,6,10,11,12,14,15",0.9149217544633016,"1,4,5,10,12",0.925060612739696,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9199911836014988,"0,2,3,4,5,6,10,12,13,15",0.9206524134890895,"0,2,4,5,10,12,13"
9,0.9226361031518624,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9217544633017412,"0,1,2,3,4,6,8,9,10,11,12,13,15",0.9232973330394534,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.922195283226802,"0,1,2,6,10,11,12,14,15",0.9239585629270444,"4,5,6,10,12,15",0.925060612739696,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0.9213136433766806,"0,2,4,5,6,10,12,13,15",0.9186687238263168,"2,4,5,6,10,12,13"
