simulation,RandomForest_acc,RandomForest_features,XGBoost_acc,XGBoost_features,LassoNet_acc,LassoNet_features,LASSO_QUT_acc,LASSO_QUT_features,HarderLASSO_QUT_acc,HarderLASSO_QUT_features,LASSO_CV_acc,LASSO_CV_features,linear_LASSO_QUT_acc,linear_LASSO_QUT_features,linear_HarderLASSO_QUT_acc,linear_HarderLASSO_QUT_features
0,0.9498044328552804,"4,6,7,15,16,18,20,22,23,24,25,26,36,45,51,52,54,55,56",0.9517601043024772,"4,6,7,15,16,20,21,22,23,24,25,26,27,36,41,44,45,47,51,52,54,55",0.9380704041720992,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56",0.9269882659713168,"4,5,6,7,9,15,16,17,18,19,20,22,23,24,25,26,32,36,41,44,45,51,52,55,56",0.9282920469361148,"4,6,7,15,19,20,22,23,24,26,41,44,45,51,52,56",0.9276401564537158,"0,1,2,3,4,5,6,7,8,9,10,11,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,32,34,35,36,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56",0.9061277705345502,"4,5,6,7,15,16,18,20,22,23,24,25,51,52,55,56",0.8885267275097783,"4,6,15,20,24,51,52,56"
1,0.9504563233376792,"4,6,7,10,15,18,20,22,23,24,25,26,36,45,51,52,54,55,56",0.9504563233376792,"4,6,7,15,16,19,20,21,22,23,24,25,26,27,35,36,38,41,44,45,51,52,54,55,56",0.9413298565840938,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56",0.9289439374185136,"4,5,6,7,8,15,16,17,18,19,20,21,22,23,24,25,26,36,41,44,45,51,52,56",0.9302477183833116,"4,5,6,7,15,16,19,20,21,22,23,24,26,41,44,45,51,52,56",0.9308996088657104,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,33,34,35,36,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56",0.8989569752281616,"4,5,6,7,15,16,18,19,20,22,23,24,25,51,52,56",0.8917861799217731,"4,6,15,20,24,51,52,56"
2,0.9458930899608866,"2,4,5,6,7,15,18,20,22,23,24,25,26,36,45,51,52,54,55,56",0.9465449804432856,"4,5,6,7,15,16,17,20,22,23,24,25,26,27,36,41,44,45,51,52,54,55,56",0.9361147327249022,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56",0.9276401564537158,"2,4,5,6,7,8,15,16,17,18,19,20,21,22,23,24,25,26,36,41,44,45,51,52,56",0.894393741851369,"4,5,6,15,20,24,51,52,56",0.9295958279009128,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56",0.8846153846153846,"4,5,6,8,15,16,18,20,22,24,25,51,52,56",0.8670143415906127,"5,6,15,20,24,51,52,56"
3,0.9471968709256844,"4,6,15,16,18,20,22,23,24,25,26,36,45,51,52,54,55,56",0.95632333767927,"4,6,7,15,16,20,22,23,24,25,26,27,36,38,41,44,45,51,52,54,55,56",0.9361147327249022,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56",0.9315514993481095,"4,5,6,7,8,15,16,17,18,19,20,21,22,23,24,25,26,36,41,44,45,51,52,56",0.9211212516297262,"4,5,6,7,15,16,19,20,21,23,24,44,51,52,56",0.923728813559322,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56",0.89374185136897,"4,5,6,15,16,17,18,19,20,22,23,24,51,52,56",0.8715775749674055,"6,15,20,24,52,56"
4,0.939374185136897,"4,6,7,15,16,18,20,22,23,24,25,26,36,45,51,52,54,55,56",0.9458930899608866,"4,5,6,7,15,16,20,21,22,23,24,26,27,36,38,41,44,45,51,52,54,55",0.9217731421121252,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56",0.9067796610169492,"2,4,5,6,7,8,15,16,17,18,19,20,21,22,23,24,25,26,32,41,44,45,51,52,56",0.9132985658409388,"4,5,6,7,15,19,20,21,22,23,24,41,44,45,51,52,56",0.9126466753585396,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56",0.8826597131681877,"4,5,6,7,8,15,16,18,19,20,22,23,24,25,51,52,56",0.8585397653194263,"6,15,20,22,24,52,56"
5,0.9426336375488916,"4,6,7,15,18,20,22,23,24,25,26,36,45,51,52,54,55,56",0.9452411994784876,"4,6,7,15,16,20,22,23,24,26,27,28,36,41,44,45,47,51,52,54,55,56",0.9341590612777052,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56",0.908735332464146,"2,4,5,6,7,8,9,15,16,17,18,19,20,21,22,23,24,25,26,36,41,44,45,51,52,56",0.9159061277705346,"4,5,6,7,15,19,20,21,22,23,24,41,44,45,51,52,56",0.9146023468057366,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56",0.8839634941329857,"4,5,6,7,8,15,16,17,18,19,20,22,23,24,25,51,52,56",0.864406779661017,"6,15,20,22,24,52,56"
6,0.9419817470664928,"2,4,6,7,15,18,20,22,23,24,25,26,36,45,51,52,54,55,56",0.9498044328552804,"4,5,6,7,15,16,17,20,22,23,24,25,26,27,29,36,41,44,45,51,52,54,55,56",0.9348109517601044,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56",0.9276401564537158,"2,4,5,6,7,8,15,16,17,18,19,20,21,22,23,24,25,26,36,41,44,45,51,52,56",0.9289439374185136,"4,5,6,7,15,19,20,21,22,24,26,41,44,45,51,52,56",0.9211212516297262,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56",0.8885267275097783,"2,4,5,6,7,8,15,16,17,18,19,20,22,23,24,25,51,52,56",0.8513689700130378,"4,6,15,20,22,24,52"
7,0.940677966101695,"4,6,7,10,15,18,20,22,23,24,25,26,36,45,51,52,54,55,56",0.940677966101695,"4,6,7,10,13,15,16,20,22,23,24,25,26,27,36,40,41,44,45,47,51,52,54,55,56",0.9308996088657104,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56",0.9159061277705346,"4,5,6,7,8,15,16,17,18,19,20,21,22,23,24,25,26,36,41,44,45,51,52,56",0.9113428943937418,"4,5,6,7,15,19,20,21,22,23,24,41,44,51,52,56",0.9198174706649282,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56",0.8898305084745762,"4,5,6,7,8,15,16,18,19,20,22,23,24,25,51,52,56",0.8735332464146024,"6,15,20,24,52,56"
8,0.952411994784876,"2,4,6,7,15,16,18,20,22,23,24,25,26,36,45,51,52,54,55,56",0.9478487614080836,"4,6,7,15,16,20,22,23,24,25,26,27,36,38,41,44,45,51,52,54,55",0.9322033898305084,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56",0.9217731421121252,"2,4,5,6,7,8,15,16,17,18,19,20,21,22,23,24,25,26,36,41,44,45,51,52,55,56",0.9302477183833116,"4,5,6,7,15,20,21,22,23,24,26,41,44,45,51,52,55,56",0.9172099087353324,"0,1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34,35,36,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56",0.9061277705345502,"4,5,6,7,15,16,17,18,19,20,22,23,24,26,51,52,55,56",0.8826597131681877,"4,6,15,20,24,52,55"
9,0.9491525423728814,"2,4,6,7,15,16,18,20,22,23,24,25,26,36,45,51,52,54,55,56",0.9471968709256844,"4,6,7,15,16,20,21,22,23,24,25,26,27,36,38,41,44,45,47,51,52,54,55,56",0.9322033898305084,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56",0.9185136897001304,"4,5,6,7,15,16,17,18,19,20,21,22,23,24,25,26,36,41,44,45,51,52,55,56",0.9152542372881356,"4,5,6,7,15,19,20,21,22,23,24,41,45,51,52,55,56",0.9217731421121252,"0,1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34,35,36,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56",0.8885267275097783,"4,5,6,7,15,16,18,19,20,22,23,24,25,51,52,55,56",0.8904823989569752,"6,15,20,22,24,52,55"
