simulation,RandomForest_acc,RandomForest_features,XGBoost_acc,XGBoost_features,LassoNet_acc,LassoNet_features,LASSO_QUT_acc,LASSO_QUT_features,HarderLASSO_QUT_acc,HarderLASSO_QUT_features,LASSO_CV_acc,LASSO_CV_features,linear_LASSO_QUT_acc,linear_LASSO_QUT_features,linear_HarderLASSO_QUT_acc,linear_HarderLASSO_QUT_features
0,0.9833333333333332,"0,1,2,3,4,5,6,7,8,9,10,11,12",0.9333333333333332,"2,4,5,6,9,12",1.0,"0,1,2,3,4,5,6,7,8,9,10,11,12",0.9666666666666668,"0,6,10,11,12",0.8833333333333333,"0,6",0.9833333333333332,"0,1,2,4,6,9,10,11,12",0.8833333333333333,"0,11,12",0.8666666666666667,"0,6"
1,1.0,"0,1,2,3,4,5,6,7,8,9,10,11,12",1.0,"0,4,5,6,9,11,12",0.9833333333333332,"0,2,3,4,6,8,9,10,11,12",0.9166666666666666,"0,6,11,12",0.9333333333333332,"0,6",0.9833333333333332,"0,1,2,3,4,5,6,7,9,10,11,12",0.8833333333333333,"0,11,12",0.9,"0,6"
2,0.9666666666666668,"0,1,2,3,4,5,6,7,8,9,10,11,12",0.9833333333333332,"0,2,4,6,9,12",0.9833333333333332,"0,1,2,3,4,6,8,9,10,11,12",0.9666666666666668,"0,6,10,11,12",0.85,"6,12",0.9833333333333332,"0,1,2,3,6,7,8,9,10,11,12",0.9666666666666668,"0,6,9,10,11,12",0.9,"0,6"
3,0.95,"0,1,2,3,4,5,6,7,8,9,10,11,12",0.9166666666666666,"1,6,9,12",0.9666666666666668,"0,2,3,6,8,9,10,11,12",0.95,"0,6,10,11,12",0.8833333333333333,"6,12",0.9833333333333332,"0,2,3,6,9,10,11,12",0.95,"0,9,10,11,12",0.95,"6,9,12"
4,0.9833333333333332,"0,1,2,3,4,5,6,7,8,9,10,11,12",0.9666666666666668,"2,3,4,6,9,10,11,12",0.9666666666666668,"0,2,6,9,10,11,12",0.95,"0,6,10,11,12",0.8666666666666667,"6,12",0.9666666666666668,"0,1,2,4,6,9,10,11,12",0.8833333333333333,"0,9,11,12",0.9,"0,6"
5,0.9666666666666668,"0,1,2,3,4,5,6,7,8,9,10,11,12",0.95,"0,3,5,6,9,10,11,12",0.9666666666666668,"0,1,2,3,4,5,6,7,8,9,10,11,12",0.95,"0,6,11,12",0.8833333333333333,"0,6",0.9666666666666668,"0,1,2,3,6,9,10,11,12",0.85,"0,11,12",0.85,"0,6"
6,0.9833333333333332,"0,1,2,3,4,5,6,7,8,9,10,11,12",0.9833333333333332,"0,1,2,5,6,9,11,12",0.9666666666666668,"0,1,2,3,4,6,8,9,10,11,12",0.9666666666666668,"0,6,10,11,12",0.8666666666666667,"0,11",0.9666666666666668,"0,1,2,3,5,6,7,9,10,11,12",0.9166666666666666,"0,11,12",0.8666666666666667,"0,11"
7,0.9833333333333332,"0,1,2,3,4,5,6,7,8,9,10,11,12",0.9833333333333332,"1,2,4,6,8,9,11,12",0.9333333333333332,"0,1,2,3,4,5,6,7,8,9,10,11,12",0.9166666666666666,"0,6,10,11,12",0.9166666666666666,"0,6",0.9666666666666668,"0,1,2,3,4,5,6,7,8,9,10,11,12",0.9666666666666668,"0,9,11,12",0.9166666666666666,"0,6"
8,0.9666666666666668,"0,1,2,3,4,5,6,7,8,9,10,11,12",0.9666666666666668,"0,2,4,5,6,9,10,11,12",0.95,"0,1,2,3,4,6,8,9,10,11,12",0.95,"0,6,10,11,12",0.8833333333333333,"0,10,12",0.9666666666666668,"0,1,2,3,5,6,8,9,10,11,12",0.9666666666666668,"0,9,10,11,12",0.9166666666666666,"0,10,12"
9,0.9666666666666668,"0,1,2,3,4,5,6,7,8,9,10,11,12",0.9333333333333332,"1,4,5,6,9,12",0.9666666666666668,"0,1,2,6,9,10,11,12",0.9666666666666668,"0,6,10,11,12",0.8833333333333333,"6,12",0.9833333333333332,"0,1,2,4,6,9,10,11,12",0.9833333333333332,"0,6,9,10,11,12",0.9166666666666666,"6,9,12"
