simulation,selected_columns
0,"10,48,34,40"
1,"39,28,37,11"
2,"21,6,19,45"
3,"26,13,21,39"
4,"3,39,40,16"
5,"5,10,33,6"
6,"0,36,3,23"
7,"38,6,30,26"
8,"11,6,34,12"
9,"16,41,45,14"
10,"10,42,9,14"
11,"41,37,30,34"
12,"46,25,27,45"
13,"31,22,41,12"
14,"17,49,1,42"
15,"46,30,38,44"
16,"2,24,4,49"
17,"21,9,45,13"
18,"25,42,2,41"
19,"4,14,11,21"
20,"14,36,34,43"
21,"38,21,4,3"
22,"43,2,34,5"
23,"34,1,25,17"
24,"11,25,41,5"
25,"5,2,38,1"
26,"41,26,0,18"
27,"49,6,39,13"
28,"24,30,46,40"
29,"45,30,22,49"
30,"16,47,8,18"
31,"6,4,34,40"
32,"24,10,23,19"
33,"37,28,32,6"
34,"48,31,21,16"
35,"24,32,20,8"
36,"30,43,46,4"
37,"28,4,31,30"
38,"33,36,11,44"
39,"25,9,24,30"
40,"9,20,49,8"
41,"33,3,44,38"
42,"43,44,0,34"
43,"3,14,17,8"
44,"42,48,19,14"
45,"27,5,8,19"
46,"36,11,30,27"
47,"8,21,10,38"
48,"4,31,12,28"
49,"17,19,13,47"
50,"17,16,12,44"
51,"4,28,26,40"
52,"10,22,5,31"
53,"35,15,38,6"
54,"39,6,30,49"
55,"16,8,29,47"
56,"34,3,36,29"
57,"35,26,19,43"
58,"9,19,33,16"
59,"6,44,31,23"
60,"19,3,30,43"
61,"32,8,23,4"
62,"20,3,37,34"
63,"24,19,49,45"
64,"30,6,22,46"
65,"6,15,14,28"
66,"25,2,26,24"
67,"39,9,45,11"
68,"6,18,21,2"
69,"11,9,40,15"
70,"27,5,14,46"
71,"11,42,28,12"
72,"41,2,1,15"
73,"48,34,13,17"
74,"13,16,37,26"
75,"24,8,22,30"
76,"20,21,39,7"
77,"9,17,28,45"
78,"32,49,4,44"
79,"47,11,29,14"
80,"41,3,29,35"
81,"49,3,10,32"
82,"10,39,49,33"
83,"25,36,34,31"
84,"41,22,19,20"
85,"28,15,5,18"
86,"45,20,13,33"
87,"6,38,41,4"
88,"22,24,9,28"
89,"13,25,0,31"
90,"47,44,9,27"
91,"37,23,48,13"
92,"17,18,42,10"
93,"39,3,34,42"
94,"28,27,5,34"
95,"33,17,35,16"
96,"45,34,13,11"
97,"8,1,4,35"
98,"4,10,35,15"
99,"12,26,48,37"
100,"41,37,17,4"
101,"44,46,5,16"
102,"16,31,20,24"
103,"35,33,47,44"
104,"12,1,46,15"
105,"0,35,48,26"
106,"47,34,22,6"
107,"7,9,34,39"
108,"48,37,25,12"
109,"8,43,28,6"
110,"25,38,32,33"
111,"6,26,7,33"
112,"33,39,47,31"
113,"16,24,6,40"
114,"45,48,11,33"
115,"20,19,47,38"
116,"42,11,30,24"
117,"25,45,40,10"
118,"18,15,37,43"
119,"45,43,37,12"
120,"32,1,14,35"
121,"39,44,27,19"
122,"3,46,43,45"
123,"39,27,43,37"
124,"11,27,9,25"
125,"17,3,14,0"
126,"1,46,43,6"
127,"10,2,13,8"
128,"37,23,44,36"
129,"39,11,40,37"
130,"16,24,26,23"
131,"7,43,27,2"
132,"23,16,42,47"
133,"38,23,13,46"
134,"42,36,37,11"
135,"20,14,47,24"
136,"29,11,13,48"
137,"24,17,22,28"
138,"29,47,9,36"
139,"46,43,2,26"
140,"12,5,29,9"
141,"9,8,10,4"
142,"16,14,48,26"
143,"0,32,13,48"
144,"43,41,44,15"
145,"48,43,30,9"
146,"34,14,40,31"
147,"45,31,37,7"
148,"33,29,21,16"
149,"36,46,26,42"
150,"9,48,23,47"
151,"29,40,10,0"
152,"37,5,25,42"
153,"15,11,7,36"
154,"28,11,33,5"
155,"47,46,12,28"
156,"28,2,10,49"
157,"40,1,33,39"
158,"12,30,0,47"
159,"48,1,2,4"
160,"41,2,16,48"
161,"9,8,30,47"
162,"45,35,47,2"
163,"35,20,44,45"
164,"38,11,49,9"
165,"28,48,12,17"
166,"20,25,30,47"
167,"17,14,26,4"
168,"34,35,13,40"
169,"41,46,37,26"
170,"48,39,26,3"
171,"41,49,26,24"
172,"49,10,0,16"
173,"9,35,13,5"
174,"38,26,0,11"
175,"12,1,21,2"
176,"44,33,8,13"
177,"9,44,21,30"
178,"36,24,37,41"
179,"27,39,31,35"
180,"35,14,45,2"
181,"29,42,38,7"
182,"21,15,47,16"
183,"10,46,48,12"
184,"29,4,36,13"
185,"29,1,11,40"
186,"42,6,26,4"
187,"12,49,41,15"
188,"39,5,30,18"
189,"23,32,29,48"
190,"5,28,16,32"
191,"9,38,20,6"
192,"25,7,43,6"
193,"20,1,33,45"
194,"9,36,6,2"
195,"43,48,28,10"
196,"17,47,14,31"
197,"6,12,40,11"
198,"12,4,48,22"
199,"12,1,35,28"
200,"32,8,30,23"
201,"12,4,32,36"
202,"8,10,40,25"
203,"10,7,30,2"
204,"12,10,36,45"
205,"35,20,22,48"
206,"39,1,35,37"
207,"5,9,47,35"
208,"4,34,40,49"
209,"49,5,3,20"
210,"0,18,49,2"
211,"31,49,29,47"
212,"37,31,9,35"
213,"27,35,19,47"
214,"31,24,25,1"
215,"7,27,21,43"
216,"28,30,43,44"
217,"44,21,31,45"
218,"22,43,32,37"
219,"19,34,48,31"
220,"30,3,46,19"
221,"21,37,13,41"
222,"46,38,19,26"
223,"32,49,9,36"
224,"9,45,31,36"
225,"43,46,21,17"
226,"41,32,12,15"
227,"1,33,46,8"
228,"44,2,25,48"
229,"20,39,36,13"
230,"39,23,38,29"
231,"25,41,11,44"
232,"38,5,1,32"
233,"27,35,43,1"
234,"14,4,16,47"
235,"33,19,44,25"
236,"29,49,48,46"
237,"27,24,26,8"
238,"25,6,35,33"
239,"41,15,16,31"
240,"14,17,20,39"
241,"22,32,13,25"
242,"10,36,16,6"
243,"3,30,39,31"
244,"30,43,27,1"
245,"37,35,31,49"
246,"4,38,28,6"
247,"18,1,47,22"
248,"16,45,26,17"
249,"24,37,17,0"
250,"48,38,49,17"
251,"25,44,10,1"
252,"36,21,25,8"
253,"11,5,42,38"
254,"47,19,30,16"
255,"29,16,45,9"
256,"8,32,31,16"
257,"34,13,42,49"
258,"22,26,28,41"
259,"32,22,24,35"
260,"3,19,0,32"
261,"2,17,13,22"
262,"17,3,49,18"
263,"35,23,10,22"
264,"45,12,11,34"
265,"44,23,13,49"
266,"30,3,47,36"
267,"11,44,14,45"
268,"10,19,34,43"
269,"37,18,9,22"
270,"21,49,34,30"
271,"22,31,10,0"
272,"10,11,36,4"
273,"9,41,26,46"
274,"6,40,14,33"
275,"40,12,9,23"
276,"15,23,3,14"
277,"14,39,6,40"
278,"42,47,0,2"
279,"35,45,19,34"
280,"42,46,7,33"
281,"18,29,31,12"
282,"11,40,35,47"
283,"1,25,47,4"
284,"3,19,14,26"
285,"46,25,24,17"
286,"12,43,6,49"
287,"19,30,8,31"
288,"30,46,24,36"
289,"25,43,8,45"
290,"42,14,0,7"
291,"10,2,40,46"
292,"3,26,40,16"
293,"48,37,0,13"
294,"8,0,30,48"
295,"46,48,38,33"
296,"2,3,22,28"
297,"32,18,25,8"
298,"5,2,49,47"
299,"8,49,36,9"
300,"37,49,29,33"
301,"27,4,44,37"
302,"12,28,41,25"
303,"43,23,4,2"
304,"16,17,46,49"
305,"24,48,16,11"
306,"0,35,10,25"
307,"21,4,3,35"
308,"23,15,7,2"
309,"44,19,21,23"
310,"8,22,14,27"
311,"36,37,4,21"
312,"46,48,15,14"
313,"39,3,7,5"
314,"27,24,15,31"
315,"31,49,18,8"
316,"33,44,40,14"
317,"34,47,25,45"
318,"20,34,8,46"
319,"21,26,28,48"
320,"41,45,28,34"
321,"4,32,48,12"
322,"40,10,19,25"
323,"8,37,24,10"
324,"13,32,9,35"
325,"39,44,13,3"
326,"2,19,18,7"
327,"46,49,10,13"
328,"26,36,45,34"
329,"6,4,39,44"
330,"6,4,23,13"
331,"13,10,4,47"
332,"49,19,23,20"
333,"18,16,25,46"
334,"13,22,2,34"
335,"6,45,39,12"
336,"0,35,43,30"
337,"13,6,14,15"
338,"31,13,36,24"
339,"49,39,23,13"
340,"13,22,47,1"
341,"40,46,47,0"
342,"12,26,1,42"
343,"35,38,23,4"
344,"47,26,41,42"
345,"28,25,10,9"
346,"49,0,14,38"
347,"47,41,18,45"
348,"24,12,32,35"
349,"24,9,37,23"
350,"15,32,3,27"
351,"3,8,39,5"
352,"20,37,39,8"
353,"7,13,49,19"
354,"45,18,5,10"
355,"37,17,3,29"
356,"15,30,4,20"
357,"33,39,2,19"
358,"31,38,18,12"
359,"25,4,39,27"
360,"48,8,29,30"
361,"26,14,38,45"
362,"16,13,9,32"
363,"7,49,5,41"
364,"36,47,3,38"
365,"19,40,44,45"
366,"31,13,9,15"
367,"21,34,2,28"
368,"17,31,46,26"
369,"23,47,19,12"
370,"45,33,21,1"
371,"16,43,20,15"
372,"17,39,48,40"
373,"12,14,29,10"
374,"45,27,8,6"
375,"19,25,5,8"
376,"36,33,19,10"
377,"6,3,31,48"
378,"36,19,37,40"
379,"33,47,39,22"
380,"1,13,44,24"
381,"34,7,0,6"
382,"27,25,16,2"
383,"48,42,30,10"
384,"33,45,46,38"
385,"31,3,36,45"
386,"12,17,24,34"
387,"33,27,17,9"
388,"42,39,37,3"
389,"14,9,32,15"
390,"22,28,17,8"
391,"19,0,47,14"
392,"12,9,46,11"
393,"25,13,17,24"
394,"7,13,45,39"
395,"41,39,28,31"
396,"16,9,11,42"
397,"46,39,8,31"
398,"2,47,36,37"
399,"5,6,43,26"
400,"44,46,9,16"
401,"3,19,37,27"
402,"49,28,7,35"
403,"15,9,39,13"
404,"20,28,36,38"
405,"36,35,28,37"
406,"49,28,21,43"
407,"8,47,13,16"
408,"3,40,38,35"
409,"44,39,26,10"
410,"24,35,28,49"
411,"8,11,33,5"
412,"1,29,2,15"
413,"40,21,18,0"
414,"43,24,30,25"
415,"13,44,24,36"
416,"41,3,23,18"
417,"9,15,22,44"
418,"0,42,9,48"
419,"34,26,43,14"
420,"41,16,46,42"
421,"4,17,42,27"
422,"20,39,32,10"
423,"19,38,13,25"
424,"36,35,43,16"
425,"46,32,27,38"
426,"30,9,8,0"
427,"17,25,21,29"
428,"36,19,13,7"
429,"37,32,31,36"
430,"11,40,18,48"
431,"42,1,41,24"
432,"25,4,19,33"
433,"25,37,41,16"
434,"17,13,3,12"
435,"26,3,13,14"
436,"0,34,2,29"
437,"41,35,15,46"
438,"41,19,31,5"
439,"27,29,34,10"
440,"15,43,34,5"
441,"45,6,1,32"
442,"35,47,7,44"
443,"18,28,3,0"
444,"8,35,39,43"
445,"45,34,12,8"
446,"7,45,3,34"
447,"45,25,37,21"
448,"2,45,30,46"
449,"9,31,2,23"
450,"30,0,1,49"
451,"18,33,23,43"
452,"47,35,16,33"
453,"34,24,0,26"
454,"31,14,10,36"
455,"3,19,34,12"
456,"11,21,1,31"
457,"30,24,38,19"
458,"12,17,20,9"
459,"23,0,28,46"
460,"28,37,48,3"
461,"3,7,41,27"
462,"21,47,10,25"
463,"10,47,6,35"
464,"1,43,22,31"
465,"25,48,46,27"
466,"35,16,17,7"
467,"35,13,10,32"
468,"21,7,9,32"
469,"10,41,12,8"
470,"49,15,20,10"
471,"9,6,26,37"
472,"42,26,36,11"
473,"44,31,28,7"
474,"21,17,14,41"
475,"15,35,23,38"
476,"14,18,24,1"
477,"46,26,22,35"
478,"7,38,43,42"
479,"23,42,34,37"
480,"5,0,3,37"
481,"10,34,16,26"
482,"34,41,13,3"
483,"28,26,20,34"
484,"39,26,43,17"
485,"1,28,42,39"
486,"32,4,38,11"
487,"4,19,35,37"
488,"31,41,43,11"
489,"48,5,43,35"
490,"24,2,43,14"
491,"38,43,13,7"
492,"49,32,11,25"
493,"44,19,29,14"
494,"26,45,1,22"
495,"10,30,13,9"
496,"11,15,23,28"
497,"34,42,8,22"
498,"32,15,27,39"
499,"2,34,12,38"
