simulation,HarderLASSO_QUT_(20)_mse,HarderLASSO_QUT_(20)_features,"HarderLASSO_QUT_(20, 10)_mse","HarderLASSO_QUT_(20, 10)_features","HarderLASSO_QUT_(20, 10, 5)_mse","HarderLASSO_QUT_(20, 10, 5)_features"
0,21.70302260436856,"13,20,28,35",0.028429543997135535,"13,20,28,35",0.01614572097252925,"13,20,28,35"
1,16.621334049330972,"0,1,26,41",0.02051085321646675,"0,1,26,41",1.5991207969377381,"0,1,26,41"
2,22.36020279399587,"8,10,19,46",0.035017976387296416,"8,10,19,46",0.008377268681964754,"8,10,19,46"
3,22.75685375303383,"0,43,44,46",0.020188108911575013,"0,43,44,46",0.010714493200987139,"0,43,44,46"
4,19.822155463640332,"13,15,25,31",0.015947642488928656,"13,15,25,31",0.009180066136979153,"13,15,25,31"
5,22.001191183958117,"4,14,30,48",0.030270254352753233,"4,14,30,48",0.022493802552308238,"4,14,30,48"
6,23.979673298935914,"11,13,37,39",0.03932698745610322,"11,13,37,39",0.01504655950474367,"11,13,37,39"
7,21.78557565717408,"12,29,44,46",0.02011458646489335,"12,29,44,46",0.013303241414752464,"12,29,44,46"
8,14.993972900577937,"3,10,48,49",0.012091497644133352,"3,10,48,49",55.23765398499995,10
9,22.682658172546837,"16,30,42,45",0.0260194886590764,"16,30,42,45",0.011447261094784191,"16,30,42,45"
10,23.249896422172146,"0,4,30,40",0.04028901336457076,"0,4,30,40",0.015127753455998537,"0,4,30,40"
11,0.03564751980454737,"6,19,22,44",0.026435932950243036,"6,19,22,44",0.02541421745856096,"6,19,22,44"
12,13.879859004511916,"3,33,46,49",0.039032818748373686,"3,33,46,49",0.01447670064948513,"3,33,46,49"
13,15.770801248398877,"22,25,27,37",0.028656849745350557,"22,25,27,37",38.75255597812989,"22,25,27,37"
14,16.610833548944285,"1,5,15,37",0.012092981719877223,"1,5,15,37",39.656939037418795,"1,5,15,37"
15,22.110925736873615,"12,28,38,44",0.5615736793735068,"12,28,38,44",0.01185133147845024,"12,28,38,44"
16,20.673042392923655,"12,15,33,39",0.0755446906455883,"12,15,33,39",0.02119418069633214,"12,15,33,39"
17,0.05583456446957336,"1,3,16,18",0.010311293249573689,"1,3,16,18",42.58746722906058,"16,18"
18,22.040145127031288,"0,16,17,37",0.0225722202158468,"0,16,17,37",0.008986928690437558,"0,16,17,37"
19,23.36223004160572,"20,25,39,40",0.02529894078231817,"20,25,39,40",0.014337871893453404,"20,25,39,40"
20,22.655571258308342,"1,20,25,43",0.0395224426435767,"1,20,25,43",0.02147484166502185,"1,20,25,43"
21,15.260121907138098,"29,34,41,43",0.016769092840165343,"29,34,41,43",52.36484252868236,"29,43"
22,22.988812042019127,"8,11,16,17",0.025370022437637377,"8,11,16,17",0.006065673673269258,"8,11,16,17"
23,23.253092022167586,"5,11,13,23",0.6262205648103375,"5,11,13,23",0.012153501081718246,"5,11,13,23"
24,23.135862642190425,"6,10,16,28",0.059413325358190605,"6,10,16,28",0.02378185378610748,"6,10,16,28"
25,23.523059029299684,"24,38,41,47",0.016383447114484525,"24,38,41,47",18.14551078092863,"24,38,41,47"
26,14.837986945284623,"10,26,28,41",0.04175874972528509,"10,26,28,41",0.013213412221875576,"10,26,28,41"
27,21.527223865934058,"5,32,36,49",0.015288289260257455,"5,32,36,49",0.006412619499831459,"5,32,36,49"
28,23.614789988674463,"5,23,36,44",0.039518375206031624,"5,23,36,44",0.013355973870940256,"5,23,36,44"
29,21.91774012522702,"10,11,28,34",0.02349889898322375,"10,11,28,34",0.009220181926368382,"10,11,28,34"
30,16.603915369901753,"0,2,4,12",0.02649134152011504,"0,2,4,12",57.34846514109185,
31,13.800643954263014,"1,12,29,49",0.028419160409595922,"1,12,29,49",0.010689320246107262,"1,12,29,49"
32,22.02441365575801,"0,29,35,37",0.05278113121689519,"0,29,35,37",0.006927786735928061,"0,29,35,37"
33,22.67307953033582,"0,2,10,21",0.10238177929743979,"0,2,10,21",0.019981674919973148,"0,2,10,21"
34,21.933310664488314,"0,5,26,36",0.5093843202001678,"0,5,26,36",0.032886818830915356,"0,5,26,36"
35,22.50897180421572,"1,4,11,24",0.5289730814694514,"1,4,11,24",0.009241167717961228,"1,4,11,24"
36,14.997158735269073,"2,6,11,12",0.04045540507325319,"2,6,11,12",0.01995629862910038,"2,6,11,12"
37,23.014177074380264,"11,13,26,38",0.026389324864049452,"11,13,26,38",0.0174566064520265,"11,13,26,38"
