simulation,selected_columns
0,"11,197,144,71,190,129,13,163,244,59"
1,"45,216,135,8,96,221,152,44,158,100"
2,"223,181,193,176,161,4,125,91,214,184"
3,"104,19,13,230,47,192,78,0,223,8"
4,"140,11,9,120,1,75,81,119,18,236"
5,"177,238,234,6,37,202,88,139,155,162"
6,"26,56,112,169,165,24,13,233,217,34"
7,"147,76,192,36,136,120,89,184,170,183"
8,"63,243,49,215,169,85,116,4,129,165"
9,"86,41,114,60,132,124,56,249,65,187"
10,"4,230,96,184,116,196,110,23,176,216"
11,"23,4,216,209,84,139,240,64,30,196"
12,"210,179,31,22,236,57,220,114,102,94"
13,"117,171,205,72,114,236,82,69,86,152"
14,"62,204,164,206,64,174,194,123,223,237"
15,"231,178,224,55,79,4,113,67,99,109"
16,"31,191,1,108,212,223,9,111,208,77"
17,"223,55,207,242,21,22,77,231,23,8"
18,"221,177,121,147,181,71,212,10,133,55"
19,"118,24,14,99,65,172,37,167,39,62"
20,"1,208,142,92,43,52,6,96,127,75"
21,"96,195,85,36,214,114,175,133,156,56"
22,"44,75,228,171,239,25,202,57,5,106"
23,"221,212,25,30,41,113,12,129,33,187"
24,"96,79,66,247,12,146,161,117,155,82"
25,"204,80,191,140,111,112,237,46,159,155"
26,"151,67,137,16,13,40,77,92,104,27"
27,"159,83,170,182,236,104,4,33,67,63"
28,"18,79,167,131,111,83,31,44,52,112"
29,"185,190,8,141,15,17,225,20,1,168"
30,"82,39,156,229,234,182,215,170,158,216"
31,"177,117,214,18,248,213,211,114,64,230"
32,"104,52,121,124,221,70,60,31,162,79"
33,"91,71,115,21,119,249,153,87,28,67"
34,"85,68,188,240,171,110,178,13,32,0"
35,"71,104,184,94,75,7,232,239,121,34"
36,"48,109,103,28,130,17,126,210,184,111"
37,"37,104,159,222,49,105,34,171,152,4"
38,"165,10,63,91,2,115,54,49,211,184"
39,"85,44,234,140,246,95,113,237,247,33"
40,"165,189,17,26,228,201,151,238,221,91"
41,"225,105,245,83,226,163,86,167,249,184"
42,"84,52,236,153,240,168,171,112,23,177"
43,"18,37,173,198,139,185,107,77,215,235"
44,"155,212,37,44,65,240,205,109,204,161"
45,"217,165,117,168,163,16,139,243,246,241"
46,"136,167,58,14,74,33,242,221,101,224"
