simulation,selected_columns
0,"17,18,46,1,43,32,42,22,41,27,8,30,29,26"
1,"17,28,19,44,41,14,45,22,18,11,15,9,24,21"
2,"25,2,8,22,30,24,33,20,29,23,42,12,15,35"
3,"33,13,12,30,6,9,48,47,2,8,38,26,46,16"
4,"35,47,45,27,42,39,17,16,34,2,8,20,13,1"
5,"27,30,20,0,44,10,48,1,5,39,13,12,29,26"
6,"33,0,22,25,14,32,30,34,29,44,13,9,7,6"
7,"26,47,39,33,11,32,41,21,10,0,20,28,12,29"
8,"36,40,44,4,27,1,28,22,3,34,32,8,18,16"
9,"16,23,30,3,11,47,32,33,14,25,38,6,5,15"
10,"10,49,46,22,43,27,35,19,18,38,24,39,41,5"
11,"25,18,22,36,24,34,10,32,49,47,16,37,45,2"
12,"21,46,19,40,47,38,7,13,32,10,33,16,39,44"
13,"34,25,33,13,21,19,41,47,5,3,9,17,22,10"
14,"7,49,45,30,4,32,10,18,40,21,44,25,29,12"
15,"18,33,16,0,25,28,13,44,3,48,43,47,15,41"
16,"8,17,44,38,6,37,45,23,16,29,9,22,12,18"
17,"9,15,10,21,27,35,24,18,4,34,19,32,14,23"
18,"39,11,16,30,36,34,48,46,8,21,7,23,49,42"
19,"18,24,13,12,33,47,17,16,35,46,9,11,21,39"
20,"38,35,40,8,28,15,12,14,21,22,37,9,36,27"
21,"34,7,17,9,36,19,13,26,39,42,40,37,28,35"
22,"33,10,17,23,42,15,18,6,36,12,40,34,1,22"
23,"17,30,23,26,45,48,5,6,37,38,7,35,36,49"
24,"10,6,27,33,23,22,43,39,34,25,47,29,32,11"
25,"28,11,26,21,10,14,46,49,29,33,9,25,3,18"
26,"19,12,16,38,10,23,8,44,4,42,18,11,7,3"
27,"7,24,18,40,43,10,17,21,16,11,27,41,15,9"
28,"11,20,19,42,23,43,6,39,14,40,46,10,17,16"
29,"1,17,41,9,26,47,19,45,25,31,27,37,42,7"
30,"43,37,40,47,46,9,38,20,3,1,5,15,16,7"
31,"14,15,22,17,23,18,5,39,34,44,12,13,11,30"
32,"25,32,28,24,38,11,17,10,39,41,40,47,22,14"
33,"39,30,21,7,49,38,0,24,9,40,13,3,15,22"
34,"31,13,17,14,23,9,22,15,34,39,7,3,27,25"
35,"3,12,19,5,21,46,38,13,44,31,39,18,6,16"
36,"4,5,49,29,48,24,17,27,47,30,6,15,31,22"
37,"28,41,10,16,22,2,23,20,4,32,19,3,30,24"
38,"42,47,13,8,3,17,44,38,29,49,16,27,28,12"
39,"49,31,12,28,44,16,8,3,23,38,48,35,5,11"
40,"8,33,6,11,17,15,28,47,0,44,43,29,49,39"
41,"38,27,40,29,1,46,17,7,3,36,49,41,21,42"
42,"49,2,29,34,37,47,25,31,21,30,39,42,17,19"
43,"17,12,20,8,18,16,21,28,29,38,42,30,26,15"
44,"46,30,21,22,25,33,23,27,8,38,39,37,2,7"
45,"32,34,0,13,42,47,22,43,20,2,11,5,18,49"
46,"47,26,1,4,45,37,28,2,22,18,19,29,42,20"
47,"14,13,8,47,31,37,32,46,3,29,27,43,48,25"
48,"24,35,26,11,40,38,33,39,45,8,44,15,2,23"
49,"15,35,46,36,43,18,24,20,7,21,17,33,41,6"
50,"19,37,15,11,20,8,24,34,42,49,39,13,22,6"
51,"21,16,18,29,38,48,40,4,49,34,5,1,22,7"
52,"48,19,7,33,11,6,39,23,37,1,47,15,38,14"
53,"41,8,1,44,31,4,29,15,13,45,40,11,46,28"
54,"46,10,4,29,0,40,15,1,16,14,24,41,17,36"
55,"7,33,49,47,35,48,9,34,3,23,28,13,16,5"
56,"23,24,33,40,43,38,9,19,2,30,41,39,3,12"
57,"11,5,35,19,47,38,9,15,22,42,1,2,44,31"
58,"11,41,39,31,44,29,1,18,15,30,0,20,36,34"
59,"25,43,49,24,32,22,29,47,34,1,11,35,37,26"
60,"45,29,32,39,0,14,7,30,3,26,5,13,47,6"
61,"3,32,37,46,6,2,47,16,33,17,49,30,43,23"
62,"2,39,10,16,0,26,18,41,24,4,5,12,20,37"
63,"37,43,5,40,19,44,46,36,18,13,7,21,8,39"
64,"33,30,41,22,24,32,1,23,5,26,42,25,18,31"
65,"22,14,13,29,4,16,0,32,18,48,30,6,34,47"
66,"21,15,16,34,3,24,9,41,28,33,14,5,44,13"
67,"7,13,47,39,4,2,38,30,17,9,16,44,25,34"
68,"1,19,5,4,15,31,48,11,24,35,0,6,30,40"
69,"46,38,20,14,5,28,7,47,33,42,12,17,34,26"
70,"20,8,3,2,25,12,46,13,6,26,33,38,48,40"
71,"0,46,36,23,30,10,28,7,17,34,32,22,29,6"
72,"8,19,44,2,27,34,37,17,6,35,23,3,46,25"
73,"47,25,40,42,37,46,29,22,39,49,0,27,14,10"
74,"11,7,8,28,41,12,4,25,49,9,37,17,44,42"
75,"8,40,22,29,19,3,18,47,20,10,9,2,37,23"
76,"20,36,1,5,28,8,48,32,23,25,19,0,30,46"
77,"31,18,22,42,9,25,32,48,20,3,13,37,27,36"
78,"16,19,14,33,43,31,32,5,26,1,6,13,35,48"
79,"37,34,11,27,5,24,47,30,49,26,6,15,1,4"
80,"30,44,8,43,14,39,37,6,9,45,20,13,25,27"
81,"14,48,21,46,13,33,28,1,35,16,25,36,18,7"
82,"35,6,13,40,29,39,10,5,4,25,49,7,8,11"
83,"24,21,27,33,8,37,46,36,12,10,44,40,3,34"
84,"31,4,49,23,40,8,7,29,46,9,24,47,3,43"
85,"23,19,46,28,35,26,7,36,12,18,32,15,9,6"
86,"7,13,16,42,44,8,20,15,31,28,32,0,2,48"
87,"26,15,9,8,23,11,13,32,35,37,5,10,30,3"
88,"47,30,25,11,33,34,44,13,22,32,43,41,10,18"
89,"14,45,4,23,46,6,2,37,16,13,24,8,0,12"
90,"36,17,9,14,33,1,15,32,46,11,41,12,35,5"
91,"12,38,21,17,43,37,42,29,47,32,10,2,23,44"
92,"1,26,12,32,28,33,7,10,19,20,43,0,17,35"
93,"2,1,21,12,14,5,8,29,40,47,10,24,48,27"
94,"39,18,34,45,10,13,29,16,40,21,6,41,38,24"
95,"24,23,11,12,10,35,32,36,37,21,48,6,47,15"
96,"42,28,5,49,34,41,6,40,10,44,37,38,8,14"
97,"28,38,26,37,21,15,11,18,1,16,7,43,3,27"
98,"35,42,12,21,49,41,39,45,2,33,36,25,9,1"
99,"22,46,34,1,47,7,17,40,45,36,26,10,19,4"
100,"49,20,4,3,13,37,8,29,47,32,12,34,25,41"
101,"25,18,35,19,27,48,23,29,14,6,1,2,21,7"
102,"4,49,1,44,0,28,20,48,31,12,13,18,38,8"
103,"44,46,4,3,36,14,13,21,34,6,31,24,10,26"
104,"36,11,17,0,34,26,33,45,25,47,16,20,49,44"
105,"37,35,25,1,23,26,34,6,38,3,11,27,4,22"
106,"46,27,19,18,37,33,45,48,25,9,41,10,13,26"
107,"48,43,28,35,19,36,22,34,30,20,9,8,45,11"
108,"18,19,4,41,30,0,37,5,43,39,10,1,21,42"
109,"24,40,2,42,25,17,11,13,28,7,38,19,29,47"
110,"5,41,30,35,15,13,20,11,25,0,3,28,18,36"
111,"37,43,8,21,40,4,6,38,41,32,31,48,34,18"
112,"5,24,31,39,36,12,3,20,29,22,8,18,1,35"
113,"22,37,34,27,5,3,13,6,12,43,49,2,48,45"
114,"0,23,12,22,13,26,31,49,43,29,14,5,18,1"
115,"26,49,0,46,3,10,21,22,11,47,32,29,28,17"
116,"49,29,21,12,11,3,47,35,40,9,43,4,20,17"
117,"24,10,48,29,12,23,9,11,34,40,19,30,46,47"
118,"5,19,2,9,16,46,32,4,48,41,40,39,42,11"
119,"24,28,25,4,44,36,21,23,38,18,19,39,11,37"
120,"20,15,47,40,3,27,32,11,43,22,23,5,26,2"
121,"23,10,12,30,4,39,1,21,31,29,38,15,35,3"
122,"25,24,4,37,1,48,22,28,17,18,29,16,8,12"
123,"30,42,3,40,24,12,37,39,11,33,21,47,41,32"
124,"32,36,2,35,23,49,6,26,28,34,11,1,29,15"
125,"45,34,40,49,44,23,21,2,33,26,28,24,5,6"
126,"17,1,4,15,37,19,11,41,23,32,25,10,9,46"
127,"10,42,35,9,15,2,18,7,3,17,25,43,29,39"
128,"35,37,28,45,42,48,46,26,18,39,22,16,31,23"
129,"14,29,35,11,1,46,6,15,9,2,39,47,26,17"
130,"22,28,37,13,21,43,27,40,4,2,14,25,18,5"
131,"18,7,20,45,39,6,22,15,11,13,41,38,46,24"
132,"13,14,12,4,7,38,10,20,47,45,34,42,0,15"
133,"19,35,3,21,32,36,2,29,26,10,25,38,16,39"
134,"40,20,47,25,46,21,7,9,6,18,29,17,41,3"
135,"11,17,26,32,42,5,23,49,4,36,38,39,10,18"
136,"1,10,32,9,21,4,15,26,31,18,5,48,16,7"
137,"42,41,30,12,10,20,11,26,4,44,2,8,22,23"
138,"42,6,30,14,43,37,15,25,49,16,9,17,29,12"
139,"20,33,40,44,21,17,7,47,37,5,26,36,30,14"
140,"16,36,42,28,33,20,19,45,4,27,43,32,35,17"
141,"7,3,19,33,24,22,10,42,26,34,14,4,23,28"
142,"5,43,1,10,9,49,15,28,45,27,46,48,38,32"
143,"37,28,30,48,29,33,6,16,9,38,45,43,10,21"
144,"30,25,38,18,33,22,13,37,23,6,20,31,29,40"
145,"10,42,25,15,32,46,11,47,3,17,33,23,35,4"
146,"12,22,17,35,37,7,39,33,26,11,19,34,36,14"
147,"10,12,47,20,46,33,45,41,24,14,27,49,18,13"
148,"13,6,26,17,10,16,31,44,34,22,9,25,15,2"
149,"4,40,25,32,21,14,0,42,33,9,38,36,19,20"
150,"22,10,7,49,8,2,46,28,33,42,45,1,21,43"
151,"45,38,27,24,41,16,36,29,26,5,21,43,44,32"
152,"31,39,3,14,13,23,45,24,7,34,36,21,8,16"
153,"34,10,3,45,1,22,44,8,47,27,16,25,24,49"
154,"6,19,46,45,37,2,0,5,31,36,32,48,49,12"
155,"20,42,35,0,26,33,29,7,38,41,23,45,32,17"
156,"18,49,35,7,8,23,45,48,3,1,26,17,22,9"
157,"44,20,49,18,14,45,30,43,48,31,6,13,47,3"
158,"33,24,32,43,5,28,3,12,41,18,35,29,14,8"
159,"15,10,27,42,41,8,14,9,0,18,13,32,29,48"
160,"13,19,7,18,11,2,34,43,49,32,3,45,36,30"
161,"7,39,14,30,36,1,34,13,5,38,48,19,33,49"
162,"6,21,19,23,32,43,13,17,29,30,37,15,20,40"
163,"9,4,15,48,5,45,25,2,13,44,38,22,14,16"
164,"27,41,45,32,9,43,21,7,4,3,1,33,12,49"
165,"40,24,7,11,43,23,27,42,36,39,18,38,19,28"
166,"9,37,32,38,44,36,21,40,1,11,6,34,45,25"
167,"5,36,40,4,6,38,21,30,37,33,44,25,12,46"
168,"33,37,9,36,38,47,34,6,10,19,41,48,16,3"
169,"9,30,46,2,1,37,13,49,3,5,47,29,40,35"
170,"20,29,26,0,46,28,27,7,35,47,18,4,14,17"
171,"39,48,45,21,42,44,20,37,9,13,46,28,34,2"
172,"33,29,34,4,6,25,35,42,49,8,1,37,31,19"
173,"34,7,1,16,6,29,48,8,45,10,43,22,23,5"
174,"19,40,11,21,34,46,14,9,43,23,49,4,30,17"
175,"15,23,6,12,17,44,2,13,48,1,4,24,5,42"
176,"10,26,1,32,25,4,17,31,14,5,8,6,2,36"
177,"28,2,29,21,8,34,46,3,9,37,41,7,43,49"
178,"36,45,44,34,17,2,1,39,43,13,37,12,7,41"
179,"36,40,47,12,0,27,5,45,35,26,17,46,24,30"
180,"35,20,14,27,23,26,46,3,9,15,42,21,12,36"
181,"22,46,23,1,2,39,13,15,32,28,30,41,33,24"
182,"48,28,18,31,20,0,39,10,47,21,17,3,29,40"
183,"23,1,16,22,18,38,11,0,19,21,2,28,32,17"
184,"14,29,32,19,23,17,40,49,5,25,28,0,38,6"
185,"14,1,32,44,34,36,23,21,17,24,27,8,29,31"
186,"34,7,5,29,47,2,48,30,33,31,23,43,32,49"
187,"4,40,10,42,17,23,30,26,31,15,18,6,25,9"
188,"5,25,12,49,29,47,2,27,8,39,35,19,18,6"
189,"5,20,37,4,42,30,1,28,44,7,6,36,39,40"
190,"0,30,15,46,40,4,7,44,22,3,20,32,8,24"
191,"30,39,1,22,40,10,34,36,45,29,32,12,43,3"
192,"18,21,47,36,15,3,14,23,8,38,7,26,0,13"
193,"13,32,9,45,5,31,16,37,14,33,8,41,36,40"
194,"24,12,31,34,14,36,5,41,46,38,35,11,15,9"
195,"6,25,48,9,14,37,18,24,33,47,5,34,12,2"
196,"4,41,19,17,30,25,18,5,20,28,32,7,11,26"
197,"40,25,44,22,3,9,17,2,34,43,35,16,31,20"
198,"36,25,8,18,21,35,15,3,10,1,33,11,38,26"
199,"23,22,11,42,41,20,29,26,34,40,47,21,24,5"
