simulation,RandomForest_mse,RandomForest_features,XGBoost_mse,XGBoost_features,LassoNet_mse,LassoNet_features,HarderLASSO_l1_mse,HarderLASSO_l1_features,HarderLASSO_nu_mse,HarderLASSO_nu_features
0,0.5260879602572054,14,0.0002914471063119326,,0.00019585729241189398,,0.00030891799240154513,,0.00031232962072719536,
1,0.000631998788165507,,0.000631998788165507,,0.0014356759750313586,,0.0005793902895330355,,0.0009515198246532464,
2,0.5279824596965504,46,0.002861670226804515,,0.0019346843108852263,,0.003085600703478575,,0.002582791720246239,
3,0.0014604148311226142,,0.0014604148311226142,,0.002439906011015902,,0.0015448925137571123,,0.0011941272755198321,
4,0.2081118362519973,"6,7,29",0.0037698676205811512,,0.02738689751681834,"6,7,19,29,31,35,42",0.0322481433067735,6,0.0031296456267357886,
5,0.233030146428275,"4,42",0.0009920882971195322,,0.001564950673825796,,0.0012290173362621837,,0.0011939076693746054,
6,0.004646144676126079,,0.004646144676126079,,0.0059924141706449,"0,8,43",0.00476996456714418,,0.0039056404731542403,
7,0.15443525249611595,"5,13,17,18,19,48",0.0013274700284971396,,0.000973390666690277,,0.00125561826698152,,0.0009499424940023204,
8,4.563834929309654e-06,,4.563834929309654e-06,,8.857240241436167e-05,,7.298977644211663e-06,,8.207826866625608e-05,
9,0.45147827446535493,49,0.0003080092772113134,,0.026899947951070542,"2,3,4,11,18,19,21,23,28,29,30,32,36,38,40,43,48,49",0.0001886557522732396,,0.0003351731344972825,
10,0.0019645357093569615,,0.0019645357093569615,,0.0034463866154315626,,0.0018736548502911732,,0.0019864907863458847,
11,7.764423756050122e-06,,7.764423756050122e-06,,0.00044584626858684695,,2.0215102677676768e-05,,7.764453311089189e-06,
12,0.29464666113449595,"8,25",0.0008992038485060304,,0.0034623778504547786,,0.0008533563881093534,,0.0009658983277427424,
13,0.5576689558613511,44,0.0010505218553224368,,6.170769654909383e-05,,0.0012243463464561288,,0.0010909695522827304,
14,0.0015906799842856701,,0.0015906799842856701,,0.0009721685842626476,,0.001080770372880249,,0.0011509804826859286,
15,0.26401749111935113,"42,47",0.0010900804261267075,,0.0012414397813836353,,0.0008873530496989468,,0.0010913333056836864,
16,0.17038093178284394,"0,22,47",0.0014989841593265813,,0.0011438929109624518,,0.001662194254430427,,0.0018011495675838152,
17,0.21448706674571547,"8,12,46",0.0039613737332538515,,0.006033950749591748,"7,9,12",0.0035003540703776458,,0.004132704297049372,
18,0.019191816994745425,,0.019191816994745425,,0.024907660762894187,,0.019235278391661836,,0.01894592621128144,
19,0.5135212680691013,16,0.007755911057425276,,0.012393382540494822,38,0.007666764998679964,,0.00710416066473929,
