simulation,RandomForest_mse,RandomForest_features,XGBoost_mse,XGBoost_features,LassoNet_mse,LassoNet_features,LASSO_QUT_mse,LASSO_QUT_features,HarderLASSO_QUT_mse,HarderLASSO_QUT_features
0,365.72792468784655,"1,8,17,18,19,27,30,32,41,42,43,46",521.8513683345429,"30,32,41,43,46",206.4712794266829,"0,1,2,3,4,5,6,7,8,9,11,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,41,42,43,44,45,46,47,49",502.7112270147587,,101.88504618804988,"1,8,17,18,26,27,29,30,32,41,43,46"
1,360.3677362481721,"9,14,15,17,19,21,22,24,28,31,41,44,45",572.9277496932219,"28,44,45",283.8046134901772,"1,2,3,5,9,11,12,13,14,15,17,18,19,21,22,24,25,27,28,31,32,33,34,35,36,41,43,44,45,48,49",514.4244599658724,,118.1254585754064,"9,11,14,15,17,18,19,22,28,31,41,44,45"
2,356.3932273126332,"2,8,12,15,22,23,24,29,30,33,35,42,48",529.3301818808515,"24,30,42",173.53154414384557,"0,1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,28,29,30,31,32,33,34,35,36,37,38,40,41,42,43,44,46,47,48,49",508.3584186037064,,11.644590641069993,"2,8,12,15,20,22,23,24,25,29,30,33,35,42"
3,354.3148497601868,"2,6,7,8,9,12,13,16,26,30,33,38,46,47,48",450.21022728015936,"12,13,16,33,46,47,48",214.5662498397551,"1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,21,22,23,24,25,26,27,28,29,30,31,32,33,35,36,37,38,40,41,42,46,47,48,49",515.2527355930049,,28.212851574837728,"2,6,8,9,12,13,16,26,30,33,38,46,47,48"
4,372.14225701794913,"1,2,8,13,16,17,27,34,39,42,47",514.6385567593919,"16,27,34,39,42,47",161.93184674560666,"1,2,4,5,6,7,8,9,11,12,13,16,17,19,20,21,23,25,26,27,29,31,32,33,34,35,36,37,39,41,42,43,44,45,47,49",489.68033199437406,,93.82647582392536,"1,2,13,16,17,27,34,35,39,42,45,47"
5,365.4021136617362,"0,1,5,10,12,13,20,26,27,29,30,39,44,48",548.8220775134145,"13,26,29,30,39",171.70925552375692,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,23,24,26,27,28,29,30,31,32,33,35,36,37,38,39,40,41,42,43,44,45,46,48",514.2206415097309,,88.37769663226014,"1,5,10,12,13,20,26,27,29,30,39,44,48"
6,367.9786880697106,"0,6,7,9,13,14,22,25,30,34",530.1556104693365,"13,30",171.4050449247942,"0,1,2,3,4,5,6,7,8,9,10,13,14,15,16,17,21,22,23,24,25,27,28,29,30,31,32,33,34,35,36,37,38,39,40,43,44,45,46,47,48,49",488.8743142335523,,18.0474373102522,"0,6,7,9,13,14,22,25,29,30,32,33,34,44"
7,371.3202910593405,"0,10,11,12,21,28,29,32,33,39",578.2524802918658,"29,32",225.7696840211473,"0,1,2,3,6,7,8,10,11,12,14,15,16,17,19,20,21,22,23,25,26,27,28,29,30,32,33,37,38,39,40,41,42,43,44,45,47,48",505.1698055176019,,13.130781117696008,"0,10,11,12,20,21,26,28,29,32,33,39,41,47"
8,394.4805099842655,"3,8,16,18,22,27,28,32,34,40",455.31075171332,"8,16,18,22,32",291.68008805952894,"0,1,2,3,4,7,8,10,11,12,13,14,16,17,18,19,20,22,23,26,27,28,29,30,31,32,33,34,35,36,39,40,41,42,44,46,49",528.6918265026843,,191.74784553956823,"3,4,8,11,16,18,27,32,34,36,40,42,44,47"
9,390.6457443206572,"3,5,6,11,14,15,16,23,25,30,33,47",610.8214686841247,"14,23,30,33,47",205.86996745480377,"1,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,20,21,23,25,30,32,33,35,38,40,43,45,47",527.8127157844021,,191.23415989659296,"3,5,11,12,14,15,18,25,30,32,33,47"
10,353.74244743065015,"5,10,18,19,22,24,27,35,38,39,41,43,46,49",500.4943558075487,"19,27,35,38,39,46",252.84587497028937,"0,3,4,5,7,8,9,10,12,13,14,15,17,18,19,20,21,22,24,26,27,28,29,30,31,33,35,36,37,38,39,40,41,42,43,45,46,47,48,49",507.76943229948495,,6.903836583590317,"5,10,18,19,22,24,27,35,38,39,41,43,46,49"
