simulation,HarderLASSO_QUT_c_index,HarderLASSO_QUT_features,LASSO_QUT_c_index,LASSO_QUT_features,AIC_c_index,AIC_features,BIC_c_index,BIC_features,LASSO_CV_c_index,LASSO_CV_features
0,0.8537012702584319,"3,6,7,10,16",0.8624616732369689,"3,6,7,9,10,16",0.8677179150240911,"7,16,3,13,9,10,8,1,6",0.8396846254927727,"7,16,3,13,9,10",0.8742882172579939,"1,3,6,7,8,9,10,12,13,15,16"
1,0.8465533522190746,"1,6,7,9,10",0.8583569405099151,"1,6,7,9,10,15,16",0.8692162417374882,"10,9,7,16,15,1,6,12",0.8474976392823418,"10,9,7,16,15,1",0.8687440982058546,"1,5,6,7,9,10,12,15,16"
2,0.8523206751054853,"1,6,7,9,10,16",0.8523206751054853,"1,3,6,7,9,10,16",0.8626347866854196,"7,6,1,12,16,15,8,10",0.8368495077355836,"7,6,1,12,16",0.8654477262072199,"1,3,6,7,8,9,10,12,15,16"
3,0.8212605832549389,"6,7,9,10,15,16",0.8198494825964252,"3,6,7,9,10,15,16",0.8029162746942615,"7,16,9,15,2,6",0.7888052681091251,"7,16,9,15,2",0.8113828786453434,"3,6,7,9,10,15,16"
4,0.8289611752360966,"1,7,9,15,16",0.8478488982161595,"1,3,6,7,9,10,15,16",0.8467995802728226,"7,16,6,1,12,15,9",0.8426023084994754,"7,16,6,1,12",0.8593913955928646,"1,3,6,7,9,10,12,15,16"
5,0.7954755309325946,"1,7,9,10,15,16",0.7982456140350878,"1,3,6,7,9,10,15,16",0.7954755309325946,"7,16,6,1,12,15,9,10",0.7825484764542936,"7,16,6,1,12,15,9",0.7968605724838412,"1,3,5,6,7,9,10,12,13,14,15,16"
6,0.8572086596038692,"1,6,7,9,10,16",0.8539843390142792,"1,3,6,7,9,10,16",0.8447719944725933,"7,16,9,1,6,2,8,10",0.8314140948871488,"7,16,9,1,6",0.8512206356517734,"1,3,6,7,8,9,10,12,15,16"
7,0.8111762054979721,"1,3,7,10",0.8210905813429473,"1,3,4,5,6,7,9,10,16",0.8228931951329428,"7,3,1,10,4,5,12",0.7990085624155024,"7,3,1,10,4",0.8382154123479044,"1,3,4,5,6,7,9,10,16"
8,0.8255869669381888,"1,6,7,9,10,16",0.8246286535697173,"1,6,7,9,10,16",0.8294202204120747,"7,16,6,1,9,12,8,13,10",0.8021082894106373,"7,16,6,1",0.8346909439386679,"1,6,7,9,10,15,16"
9,0.7963231736816643,"6,7,9,16",0.810836961780358,"6,7,9,10,12,16",0.8118045476536042,"7,6,16,12,1,9,15,14",0.8127721335268505,"7,6,16,12,1",0.8330914368650217,"0,1,2,6,7,8,9,10,12,13,14,15,16"
10,0.7899436090225563,"6,7,9,10,16",0.8026315789473685,"1,4,6,7,9,10,15,16",0.793703007518797,"7,16,9,10,6,2,15,8",0.7894736842105263,"7,16,9,10,6",0.8021616541353384,"1,2,4,6,7,8,9,10,12,15,16"
11,0.8509949097639982,"3,7,9,10,15,16",0.8583988894030541,"1,3,4,7,9,10,15,16",0.8533086534012031,"7,3,1,10",0.8533086534012031,"7,3,1,10",0.8597871355853771,"1,3,4,7,8,9,10,12,13,15,16"
12,0.835990888382688,"7,9,10,16",0.8287015945330296,"4,7,9,10,16",0.8510250569476082,"7,16,10,9,15",0.835990888382688,"7,16,10,9",0.8373576309794989,"4,5,7,9,10,12,15,16"
13,0.8515735086895256,"1,6,7,10,16",0.8586190699859089,"1,3,6,7,9,10,15,16",0.8590887740723344,"7,16,1,10,6,12,9,13,3",0.8529826209488023,"7,16,1,10,6,12",0.8543917332080789,"0,1,2,3,4,5,6,7,9,10,11,12,13,14,15,16"
14,0.7411820781696854,"7,9,16",0.7783603431839847,"3,7,9,10,15,16",0.7902764537654909,"7,9,16,1,15,12",0.7764537654909438,"7,9,16,1",0.7507149666348903,"3,7,9,10,16"
15,0.8298774740810556,"1,7,9,10,16",0.8317624882186616,"1,3,7,9,10,15,16",0.8261074458058435,"7,10,16,1,9,13,0,15,12",0.8312912346842601,"7,10,16,1,9",0.8388312912346843,"1,3,4,6,7,9,10,15,16"
16,0.8077651515151515,"6,7,9,10",0.8517992424242424,"3,6,7,9,10,15,16",0.8125,"7,10,9,6,2,15",0.8091856060606061,"7,10,9,6,2",0.8418560606060606,"1,2,5,6,7,8,9,10,11,12,13,15,16"
17,0.8157058556513844,"1,6,7,10,16",0.8202451202905129,"1,3,6,7,10,15,16",0.82296867907399,"7,16,6,1,10,15,8",0.8161597821152973,"7,16,6,1,10",0.8329550612800726,"1,2,3,5,6,7,8,9,10,11,12,15,16"
18,0.840818141396176,"1,3,6,7,9,10,16",0.8417074255224545,"1,3,6,7,9,10,16",0.7963539350822588,"7,9,1,6,12,16,8,3,13",0.8145842596709649,"7,9,1,6,12,16",0.8430413517118719,"1,3,6,7,9,10,12,15,16"
19,0.7996414164051995,"1,3,7,16",0.8323621694307486,"1,3,6,7,9,10,15,16",0.8296727924697445,"7,16,1,9,10,15",0.8036754818467056,"7,16,1,9",0.834603316898252,"1,3,6,7,9,10,15,16"
20,0.8493723849372385,"3,7,9,10,15",0.8656438865643886,"3,6,7,9,10,15,16",0.8526266852626685,"7,3,16,9,10,15,12,11,1",0.8475127847512784,"7,3,16,9,10",0.8763365876336587,"1,2,3,6,7,9,10,11,12,15,16"
21,0.822867042009528,"3,7,9,10",0.8388912949328714,"3,7,9,10,16",0.8540493720225206,"7,9,10,1,5,12",0.855348635773062,"7,9,10,1,5",0.8544824599393677,"1,3,5,7,8,9,10,12,16"
22,0.7889400921658987,"6,7,9,10,16",0.7972350230414746,"1,6,7,9,10,15,16",0.7986175115207373,"7,9,16,10,6,15,2,8",0.7705069124423963,"7,9,16,10",0.7829493087557604,"6,7,9,10,15,16"
23,0.7690343546889508,"3,6,7,16",0.8217270194986073,"1,3,6,7,9,10,15,16",0.8149953574744662,"7,16,6,2,9",0.8149953574744662,"7,16,6,2,9",0.7952646239554317,"1,3,6,7,9,10,15,16"
24,0.8258510113468179,"1,6,7,9,10",0.8450912678835718,"1,3,6,7,9,10,16",0.8455846077947706,"7,6,1,10,9,16,12",0.8258510113468179,"7,6,1,10,9",0.8544647261963493,"0,1,2,6,7,8,9,10,12,13,15,16"
25,0.8168367346938775,"1,3,7,9,10,16",0.8142857142857143,"1,3,6,7,9,10,15,16",0.8040816326530612,"7,3,16,10,1,12,9,2,15,5,0",0.801530612244898,"7,3,16,10,1,12,9,2",0.8107142857142857,"1,2,3,4,5,7,9,10,12,15,16"
26,0.7671232876712328,"1,3,7,9,10",0.783656117146906,"1,3,6,7,9,10,15,16",0.7567312234293812,"7,3,1,10,9,2,13,16,5",0.764289088332546,"7,3,1,10,9,2,13,16",0.7709022201228153,"0,1,2,3,5,6,7,8,9,10,12,13,15,16"
27,0.8053932584269663,"6,7,9,10,15,16",0.7968539325842696,"1,6,7,9,10,15,16",0.7968539325842696,"7,15,9,10,16,6,1",0.7982022471910112,"7,15,9,10,16",0.7968539325842696,"1,6,7,9,10,15,16"
28,0.8367705133830627,"7,9,10,15,16",0.8907415533128565,"1,3,6,7,9,10,15,16",0.8657305835892936,"7,9,16,10,1,12,15,11",0.8775778850372971,"7,9,16,10,1",0.8723124177270732,"0,1,2,3,5,6,7,9,10,11,12,13,15,16"
29,0.7592319054652881,"7,9,10,15,16",0.7744953225012309,"3,6,7,9,10,15,16",0.7749876907927129,"7,16,9,15,10,6",0.7597242737567701,"7,16,9,15,10",0.7863121614967996,"3,6,7,9,10,12,15,16"
30,0.776981852913085,"7,9,10,16",0.7874880611270296,"3,6,7,9,10,16",0.7803247373447947,"7,16,10,9,13,2,6",0.776981852913085,"7,16,10,9",0.7941738299904489,"3,7,9,10,16"
31,0.8175149014213663,"1,3,7,9,10",0.8294360385144429,"1,3,6,7,9,10,15,16",0.8257679963319579,"7,3,1,10,9,5,2,16",0.8239339752407153,"7,3,1,10,9,5,2",0.8340210912425493,"1,2,3,4,5,7,9,10,12,15,16"
32,0.8160569105691057,"1,6,7,10,16",0.8409552845528455,"1,6,7,9,10,15,16",0.8384146341463414,"7,16,1,6,10,12,15",0.8160569105691057,"7,16,1,6,10",0.8445121951219512,"1,6,7,9,10,15,16"
33,0.8393186003683242,"6,7,9,10,16",0.8383977900552486,"6,7,9,10,16",0.8310313075506446,"7,6,10,16,9,2,12",0.8383977900552486,"7,6,10,16,9",0.8494475138121547,"1,2,6,7,9,10,12,15,16"
34,0.791219056515647,"1,3,6,7,9,10",0.7944885567491826,"1,3,4,6,7,9,10,16",0.796823914058851,"7,10,9,1,4,3,13,2,8,16",0.7907519850537132,"7,10,9,1,4,3,13",0.7958897711349836,"1,3,4,6,7,9,10,16"
35,0.7630143777887952,"6,7,9,10,15,16",0.7803668815071889,"1,3,6,7,9,10,15,16",0.7744174516608825,"7,16,9,15,6,1,12",0.7372335151214675,"7,16,9,15",0.7649975210708974,"0,1,2,3,4,6,7,8,9,10,11,12,13,14,15,16"
36,0.8047846889952153,"6,7,9,10,15,16",0.8397129186602871,"1,3,6,7,9,10,15,16",0.8239234449760765,"7,16,10,15,9,1,12,5,2,6",0.8430622009569378,"7,16,10,15,9,1",0.8339712918660287,"0,1,2,3,4,5,6,7,9,10,12,13,15,16"
37,0.8034034930586654,"3,6,7,9,16",0.8235557545902373,"1,3,6,7,9,10,15,16",0.80653828929691,"7,3,16,9,15,8,2,14,6",0.7926556202418271,"7,3,16,9,15",0.8280340349305867,"1,2,3,6,7,8,9,10,12,14,15,16"
38,0.8688741721854305,"6,7,9,10,16",0.8754966887417218,"3,6,7,9,10,15,16",0.8794701986754967,"7,16,10,6,1,8,15,9",0.8655629139072848,"7,16,10,6",0.8584988962472406,"7,10"
39,0.7691218130311614,"1,3,6,7,16",0.7946175637393768,"1,3,4,5,6,7,10,16",0.7322946175637394,"7,3,16,6,1,14,12,13,5",0.7294617563739377,"7,3,16,6,1,14,12",0.7936732766761095,"1,3,4,5,6,7,8,9,10,12,13,14,15,16"
40,0.8142857142857143,"7,10,16",0.8341013824884793,"3,7,9,10,15,16",0.8152073732718894,"7,16,10,12,15,11,9",0.8129032258064516,"7,16,10,12,15",0.8400921658986175,"1,3,6,7,9,10,11,12,13,15,16"
41,0.8607941579187586,"6,7,9,10,16",0.8393427658603377,"6,7,9,10,12,16",0.8575992697398448,"7,9,16,10,6,1,12",0.8575992697398448,"7,9,16,10,6,1,12",0.863076220903697,"1,6,7,9,10,12,16"
42,0.8137299771167048,"7,10,16",0.8356979405034325,"3,6,7,9,10,16",0.8183066361556064,"7,10,16,12,6",0.8128146453089244,"7,10,16",0.8123569794050344,"3,7,10,16"
43,0.8443056222969726,"1,6,7,9,10,15",0.8476693897164824,"1,3,6,7,9,10,15",0.8534358481499279,"7,15,10,1,9,4,12,3",0.8457472369053339,"7,15,10,1,9",0.8486304661220567,"1,2,3,4,6,7,9,10,12,15"
44,0.8231111111111111,"7,9,10,16",0.8391111111111111,"6,7,9,10,16",0.8093333333333333,"7,16,10,9,13",0.8093333333333333,"7,16,10,9,13",0.8311111111111111,"1,3,5,6,7,9,10,11,12,13,15,16"
45,0.7819951338199513,"1,7,9,10,15",0.8155717761557177,"1,3,6,7,9,10,15,16",0.8272506082725061,"7,9,15,10,1,16,12,3,13,2",0.7824817518248175,"7,9,15,10,1",0.8262773722627738,"1,2,3,5,6,7,9,10,12,15,16"
