simulation,HarderLASSO_QUT_c_index,HarderLASSO_QUT_features,LASSO_QUT_c_index,LASSO_QUT_features,HarderLASSO_QUT_ANN_c_index,HarderLASSO_QUT_ANN_features,LASSO_QUT_ANN_c_index,LASSO_QUT_ANN_features,AIC_c_index,AIC_features,BIC_c_index,BIC_features,LASSO_CV_c_index,LASSO_CV_features,LassoNet_c_index,LassoNet_features,CoxPH_c_index,CoxPH_features
0,0.7910004161967671,"0,2,3,4,7",0.7906875973363406,"0,2,3,4,7",0.784594678051662,"0,2,3,4,7",0.7906063718382471,"0,2,3,4,7",0.7910950673970248,"0,4,2,7,6",0.7910950673970248,"0,4,2,7,6",0.7909517480264218,"0,1,2,3,4,5,6,7",0.791620012351646,"0,1,2,3,4,5,6,7",0.7906926319746522,
1,0.804641832027606,"0,1,2,3,4,7",0.8047581873198438,"0,1,2,3,4,7",0.8005193369642498,"0,1,2,3,4,7",0.8026570272169912,"0,1,2,3,4,7",0.8045900809819304,"0,4,7,2,6",0.8044050625375871,"0,4,7,2",0.8049672209553176,"0,1,2,3,4,5,6,7",0.8046864799885809,"0,1,2,3,4,5,6,7",0.8049591031442311,
2,0.7911992855439545,"0,1,2,3,4,7",0.7906288428898064,"0,1,2,3,4,7",0.7837040431292053,"0,1,2,3,4,7",0.7877839772410749,"0,1,2,3,4,7",0.7943614348703445,"0,4,7,2,6,1,3",0.7941526956087271,"0,4,7,2",0.7944476024375402,"0,1,2,3,4,6,7",0.7905259761816813,"0,1,2,3,4,5,6,7",0.793952639900393,
3,0.789663982116304,"0,1,2,4,7",0.7752741933874235,"0,1,2,3,4,7",0.7898469440369383,"0,1,3,4,7",0.7914410413527206,"0,1,2,3,4,7",0.7918082958261397,"0,4,7,2,1",0.7918432249200789,"0,4,7,2",0.791602713158954,"0,1,2,4,7",0.7933282103995556,"0,1,2,3,4,5,6,7",0.562334128386043,
4,0.7939004246967514,"0,1,2,3,4,7",0.7934874875307845,"0,1,2,3,4,7",0.7890249276177242,"0,1,2,3,4,7",0.788406197707016,"0,1,2,3,4,7",0.7974384378945206,"0,3,7,2,4,1",0.7976459202348674,"0,3,7,2,4",0.7972640716280402,"0,1,2,3,4,6,7",0.7969565652278521,"0,1,2,3,4,5,6,7",0.797129579817848,
5,0.78557226000663,"0,2,4,7",0.7856421032369831,"0,2,3,4,7",0.785417869707955,"0,2,4,7",0.7850740004063607,"0,2,3,4,7",0.7853263048987841,"0,4,7,2,6",0.7855629030188316,"0,4,7,2",0.7851488563087485,"0,2,3,4,6,7",0.7855993284356185,"0,1,2,3,4,5,6,7",0.785279185781656,
6,0.7951000811468758,"0,2,3,4,7",0.79486543143089,"0,2,3,4,7",0.7978009196645929,"0,3,4,7",0.7947071950229916,"0,2,3,4,7",0.7967845550446307,"0,4,2,7,6",0.7965955504463078,"0,4,2,7",0.7964153367595348,"0,2,3,4,7",0.7970868271571544,"0,1,2,3,4,5,6,7",0.7967385718149851,
7,0.7988774998663851,"0,2,3,4,7",0.7985690017583039,"0,2,3,4,7",0.799599696643527,"0,2,4,7",0.7981938653527534,"0,2,3,4,7",0.7991268015173236,"0,4,7,2,6",0.7990222774872829,"0,4,7,2",0.7991406704015684,"0,1,2,3,4,5,6,7",0.8009788049622192,"0,1,2,3,4,5,6,7",0.5379496647450933,
8,0.7925307091085385,"0,1,2,3,4,7",0.792333838678745,"0,1,2,3,4,7",0.7880746741593498,"0,1,2,3,4,7",0.7879906359316659,"0,1,2,3,4,7",0.7955138987844925,"0,3,7,2,1",0.7950341108152846,"0,3,7,2",0.7967527093121053,"0,1,2,3,4,6,7",0.7962846398208613,"0,1,2,3,4,5,6,7",0.6574990223441242,
9,0.8028061928390705,"0,2,3,4,7",0.8023605639110052,"0,2,3,4,7",0.8035367703995494,"0,2,4,7",0.8021283959162485,"0,2,3,4,7",0.8035003584406595,"0,4,7,2,6",0.8038527861161535,"0,4,7,2",0.8039947593503572,"0,2,3,4,6,7",0.8038998878244422,"0,1,2,3,4,5,6,7",0.8031923600361046,
