simulation,HarderLASSO_QUT_c_index,HarderLASSO_QUT_features,LASSO_QUT_c_index,LASSO_QUT_features,HarderLASSO_QUT_ANN_c_index,HarderLASSO_QUT_ANN_features,LASSO_QUT_ANN_c_index,LASSO_QUT_ANN_features,AIC_c_index,AIC_features,BIC_c_index,BIC_features,LASSO_CV_c_index,LASSO_CV_features,LassoNet_c_index,LassoNet_features,CoxPH_c_index,CoxPH_features
0,0.6349786715417428,"2,4,5",0.642088157627463,"2,4,5",0.6401245852799783,"2,4,5",0.6395490554539914,"2,4,5",0.6408693885841966,"4,5,2,6",0.6398537477148081,"4,5,2",0.6477418918003928,"2,3,4,5,6,7,8",0.637957884758616,"0,1,2,3,4,5,6,7,8",0.6504841221477419,
1,0.6432215495544521,"2,4",0.6297870893136521,4,0.6297190667301544,4,0.6297190667301544,4,0.6630841439357866,"4,5,2,3",0.6630841439357866,"4,5,2,3",0.6757363444663629,"2,3,4,5,6,7,8",0.6688320522413441,"0,2,3,4,5,7,8",0.6683218828651112,
2,0.6659218273391502,"2,4,5,6",0.6669858835213166,"2,4,5,6",0.6765978577002199,"2,4,5",0.6763141093849755,"2,4,5",0.6562389160814358,"4,5,2,6,3",0.6667730722848834,"4,5,2,6",0.6572320351847911,"2,3,4,5,6,7,8",0.6697169610555437,"0,1,2,3,4,5,6,7,8",0.6543236149535362,
3,0.6497361918119281,"4,5",0.6484004541508048,"4,5",0.6392840446136379,"4,5",0.6404862085086489,"4,5",0.642890536298671,"4,5,2",0.6497361918119281,"4,5",0.6387497495491885,"0,1,2,3,4,5,6,7,8",0.6519067655112536,"0,1,2,3,4,5,6,7,8",0.6390836839644694,
4,0.6475951374207188,"4,5,8",0.6477272727272727,"4,5,8",0.6511958245243129,"4,5",0.6619318181818182,"4,5,8",0.6627576638477801,"4,5,8,7,2",0.6542679704016914,"4,5,8,7",0.6549286469344608,"0,1,2,3,4,5,6,7,8",0.6619318181818182,"0,1,2,3,4,5,6,7,8",0.6534090909090909,
5,0.6622108843537415,"2,4,5",0.6607823129251701,"2,4,5",0.6618027210884354,"2,4,5",0.6689455782312925,"2,4,5",0.6623469387755102,"4,5,2",0.6623469387755102,"4,5,2",0.677687074829932,"0,1,2,3,4,5,6,7,8",0.6830612244897959,"0,1,2,3,4,5,6,7,8",0.6781632653061225,
6,0.6232840549102429,"2,4",0.6232840549102429,"2,4",0.6298508447729673,"2,4",0.6298508447729673,"2,4",0.6537750791974657,"4,2,5,3,0",0.679448257655755,"4,2,5",0.6645657338965153,"0,2,3,4,5,6,7,8",0.6765443505807814,"0,1,2,3,4,5,6,7,8",0.6636087645195353,
7,0.7125278862242053,"4,5",0.7116215839375348,"4,5",0.7058003346346905,"4,5",0.7048940323480201,"4,5",0.7141662018962632,"4,5,2",0.7128067484662577,"4,5",0.7179656999442275,"0,2,4,5,6,7,8",0.704824316787507,"0,1,2,4,5,7,8",0.7147239263803681,
8,0.634375,"4,5,8",0.634765625,"4,5,8",0.6437825520833333,"4,5",0.6498372395833333,"2,4,5,8",0.6324869791666666,"4,5,2,8",0.6306966145833334,"4,5,2",0.6440755208333333,"2,4,5,8",0.6522135416666667,"0,1,2,3,4,5,8",0.6369791666666667,
9,0.6523402801503245,"2,4,5",0.6517936453706867,"2,4,5",0.6532285616672361,"2,4,5",0.6528185855825077,"2,4,5",0.6516569866757772,"4,5,2",0.6516569866757772,"4,5,2",0.6595148616330714,"2,4,5,6,7,8",0.6604031431499829,"0,1,2,3,4,5,6,7,8",0.6578749572941578,
