simulation,HarderLASSO_QUT_c_index,HarderLASSO_QUT_features,LASSO_QUT_c_index,LASSO_QUT_features,HarderLASSO_QUT_ANN_c_index,HarderLASSO_QUT_ANN_features,LASSO_QUT_ANN_c_index,LASSO_QUT_ANN_features,AIC_c_index,AIC_features,BIC_c_index,BIC_features,LASSO_CV_c_index,LASSO_CV_features,LassoNet_c_index,LassoNet_features,CoxPH_c_index,CoxPH_features
0,0.7089552238805971,68,0.6921641791044776,"11,68",0.7089552238805971,68,0.6940298507462687,"11,68",0.7686567164179104,"68,61,14,60,63,4,19,25,33,65,41,45,26,3,12,42,13,51,20,5,62,7,70,39,40,57",0.7742537313432836,"68,61,14,60,63,4,19,25,33,65,41,45,26,3,12,42,13,51,20,5,62,7",0.6511194029850746,"11,68",0.6921641791044776,"11,68",0.625,
1,0.5989110707803993,"1,11",0.5989110707803993,"1,11",0.5989110707803993,"1,11",0.5989110707803993,"1,11",0.5807622504537205,"11,64,1,62,68,29,4,72,56,41,35,34,69,74,31,53,3,42,57,46,54,33,44,71,22",0.6188747731397459,"11,64,1,62,68,29,4,72,56,41,35,34,69,74,31,53,3,42",0.720508166969147,"1,4,5,6,10,11,21,24,25,26,27,29,35,36,37,41,45,48,50,52,53,54,56,57,60,61,62,64,67,68,69,71,72,73,74",0.7586206896551724,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74",0.558983666061706,
2,0.7125506072874493,"37,68",0.7368421052631579,"1,37,68",0.6639676113360324,"1,37",0.7348178137651822,"1,37,68",0.6366396761133604,"68,61,73,37,35,52,63,49,38,58,22,19,21,39,51,24,64,4,62,66",0.6963562753036437,"68,61,73,37,35,52,63,49,38,58,22,19,21,39,51",0.7469635627530364,"3,4,5,6,11,17,19,24,25,29,31,33,35,36,37,38,41,42,45,48,49,50,52,54,58,61,62,63,68,71,73",0.7206477732793523,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74",0.5020242914979757,
3,0.7539370078740157,68,0.7539370078740157,68,0.7539370078740157,68,0.7539370078740157,68,0.5984251968503937,"68,63,45,4,3,33,69,51,54,58,14,11,38,25,21,49,24,64,53,32",0.5452755905511811,"68,63,45,4,3,33,69",0.687007874015748,"0,1,3,4,6,10,11,14,19,24,25,29,33,35,38,41,42,43,45,50,51,53,54,57,62,63,64,66,68,69,73,74",0.7362204724409449,"0,1,2,3,4,5,6,7,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,25,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74",0.7224409448818898,
4,0.7229166666666667,68,0.7229166666666667,68,0.7229166666666667,68,0.7229166666666667,68,0.7375,"68,69,64,0,63,19,14,25,26,22,6,49",0.7583333333333333,"68,69,64,0,63,19,14,25,26,22",0.75625,"0,1,2,4,5,6,11,14,15,19,24,25,26,29,31,36,37,38,42,45,53,54,59,62,63,64,65,68,69,71,74",0.79375,"0,2,4,5,6,11,14,15,19,24,25,26,29,31,35,36,37,38,42,45,48,51,53,54,55,59,62,63,64,65,68,69,71,72,74",0.58125,
5,0.5465116279069767,"64,72",0.6821705426356589,"64,68",0.5,64,0.6821705426356589,"64,68",0.5106589147286822,"64,8,45,29,57,63,53,25,2,69,50,1,40,72,54,52,66,22,18,68,59,47,17,5,51,55,23,27,34,37",0.7054263565891473,"64,8,45,29,57,63,53,25,2,69",0.6705426356589147,"0,2,4,6,8,10,11,17,21,22,24,25,27,29,36,39,41,45,47,50,53,56,57,63,64,66,68,69,71,72",0.6976744186046512,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74",0.4844961240310077,
6,0.5864077669902913,37,0.5864077669902913,37,0.596116504854369,37,0.596116504854369,37,0.7106796116504854,"37,71,21,6,64,69,68,63,29,56,35,9,0,42,24,51,66,31,50",0.6912621359223301,"37,71,21,6,64,69,68,63,29,56,35,9,0",0.5766990291262136,"37,64",0.6640776699029126,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74",0.6388349514563106,
7,0.6144578313253012,37,0.6726907630522089,"11,37",0.5,37,0.6124497991967871,37,0.677710843373494,"37,24,71,6,64,21,42,14,68,69,65,63,38,47,22,29,54,58,15,1,72,56,4,53,8,5,74,36,62,18,49",0.4417670682730923,"37,24,71,6,64,21",0.5903614457831325,"1,4,6,11,14,19,21,23,24,29,31,37,42,45,50,52,53,54,59,61,62,63,64,65,68,69,71,72,73,74",0.5763052208835341,"4,6,11,14,19,21,24,29,31,37,45,52,53,54,59,61,62,63,65,68,71,72,73,74",0.6506024096385542,
8,0.5575221238938053,1,0.5575221238938053,1,0.5575221238938053,1,0.5575221238938053,1,0.479646017699115,"1,8,14,35,19,47,23,64,22,38,63,18,53,26,12,44,70,56,60,24,0,21,51,29,17,67,32,34,4,7",0.4557522123893805,"1,8,14,35,19,47,23,64,22,38,63,18,53,26,12,44,70,56,60,24,0,21,51",0.6,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,35,37,38,39,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,57,58,59,60,61,62,63,64,65,66,67,68,70,71,72,73,74",0.5893805309734513,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74",0.5469026548672566,
9,0.7126436781609196,68,0.7126436781609196,68,0.7126436781609196,68,0.7126436781609196,68,0.5019157088122606,"68,35,41,1,57,22,19,2,24,50,64,48,42,33,51,66,53,47,25,65,3,55,40,16,39,70,14,54",0.46455938697318,"68,35,41,1,57,22,19,2,24,50,64,48,42,33,51,66,53,47,25,65,3,55,40",0.6839080459770115,"1,2,4,6,12,14,22,24,25,28,33,35,36,38,39,41,43,45,47,48,50,53,57,62,63,64,68,69,70,71,74",0.7068965517241379,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74",0.4980842911877394,
