simulation,HarderLASSO_QUT_c_index,HarderLASSO_QUT_features,LASSO_QUT_c_index,LASSO_QUT_features,HarderLASSO_QUT_ANN_c_index,HarderLASSO_QUT_ANN_features,LASSO_QUT_ANN_c_index,LASSO_QUT_ANN_features,AIC_c_index,AIC_features,BIC_c_index,BIC_features,LASSO_CV_c_index,LASSO_CV_features,LassoNet_c_index,LassoNet_features,CoxPH_c_index,CoxPH_features
0,0.7085378142648934,"2,3,7,9,13,29,42,45,46,49",0.7082310928675533,"2,3,7,9,13,29,42,45,46,49",0.7081528113044271,"2,3,7,9,13,29,42,45,46,49",0.7089463016942977,"2,3,7,9,13,29,42,45,49",0.709519180406267,"2,42,13,29,7,9,46,45,68,49,0,38,30,17,3,31,37,36,27,34,54,39,53,64,60,26,41,69,70,43,67,12",0.7085349676625979,"2,42,13,29,7,9,46,45,68,49",0.7126518662324649,"0,2,3,4,5,7,9,10,11,12,13,15,17,19,20,21,22,23,24,26,27,28,29,30,31,33,34,35,37,38,39,40,41,42,43,44,45,46,47,48,49,50,52,53,54,60,61,64,67,68,69,70",0.7126767740025506,"0,2,3,5,7,9,10,13,17,18,19,20,21,23,24,29,30,31,35,38,39,41,42,43,45,46,47,49,50,53,54,57,60,64,68,69,70",0.7096017318728366,
1,0.7000429347498253,"2,3,7,9,13,29,31,42,45,46,49",0.6970339539356263,"0,2,3,7,9,13,21,29,31,42,45,46,49",0.7009811122584033,"2,7,9,13,29,42,49",0.6971595646913133,"0,2,3,7,9,13,21,29,31,42,45,46,49",0.7007895026310841,"2,42,13,29,7,9,46,49,45,0,68,31,35,44,30,3,39,64,69,43,20,60,19,67,36,52,6,40,56,66",0.6993155278312984,"2,42,13,29,7,9,46,49,45,0,68,31,35,44,30",0.7028326289905367,"0,2,3,6,7,9,10,13,19,20,21,29,30,31,35,39,40,42,43,44,45,46,49,52,60,64,66,67,68,69",0.7041927025118603,"0,2,3,5,6,7,8,9,10,11,13,16,19,20,21,25,29,30,31,32,35,39,42,43,44,45,46,49,52,53,57,60,64,66,67,68,69",0.697861423659531,
2,0.7028176128471114,"2,3,7,10,13,29,42",0.7030623697290364,"2,3,7,10,13,29,38,42",0.7032673979576635,"2,3,7,10,13,29,42",0.70507540640284,"2,3,7,13,29,42",0.7071771231063266,"2,42,13,7,29,9,68,10,38,49,35,46,40,45,19,50,39,53,3,31,37,0,30,43,64,47,48,6",0.7052364493367443,"2,42,13,7,29,9,68,10,38,49,35",0.7111386373923247,"0,2,3,4,6,7,9,10,11,13,19,29,30,31,34,35,36,38,39,40,41,42,43,45,46,47,48,49,50,52,53,60,61,63,64,67,68,69",0.7101220095320391,"0,2,3,6,7,8,9,10,13,19,29,30,31,35,38,39,40,41,42,43,45,46,47,49,50,52,53,68",,
3,0.7034803326791679,"2,7,9,13,29,42,43,45,60",0.7036525674533688,"2,3,7,9,13,21,29,31,42,43,45,60",0.7055166938204823,"2,13,29,42",0.7036340137073676,"2,3,7,9,13,21,29,31,42,43,45,60",0.7032520865962838,"2,42,13,7,29,9,35,43,45,0,68,31,49,67,46,30,44,61,40,60,38,18,16,37,3,39,23,19,5,12,4",0.7050675531389787,"2,42,13,7,29,9,35,43,45,0,68,31,49,67,46,30",0.7083155089012472,"0,2,3,7,9,12,13,16,17,18,21,23,29,30,31,35,38,39,40,41,42,43,44,45,46,49,50,57,60,61,67,68",0.7096170716867736,"0,2,3,5,7,8,9,10,13,14,16,17,18,19,21,23,25,29,30,31,35,38,39,40,41,42,43,44,45,46,47,49,50,60,61,67,68",0.7043527088119091,
4,0.6967074307923379,"0,2,3,7,13,17,29,42,45,46,49,50",0.6959155200273343,"0,2,3,7,13,17,29,42,45,46,49,50",0.6998725824476983,"2,3,13,42",0.6954642198700198,"0,2,3,7,13,17,29,42,45,46,49,50",0.6964999323761594,"2,42,13,7,46,45,29,0,3,50,30,68,31,49,40,17,39,19,16,35,5,53,36,11,9,60,66,67,64,41,56",0.69592548564595,"2,42,13,7,46,45,29,0,3,50,30,68,31,49",0.7010826932796139,"0,2,3,5,7,9,10,11,12,13,14,16,17,19,20,22,23,24,28,29,30,31,35,36,38,39,40,41,42,44,45,46,47,48,49,50,52,53,54,56,60,64,66,67,68,69",0.7013567477915478,"0,2,3,5,7,8,9,10,11,13,14,16,17,19,23,24,29,30,31,35,38,39,40,42,44,45,46,49,50,60,68,69",0.696205946626994,
5,0.7095103900624837,"2,7,9,13,29,42,45,49",0.7092717247242462,"2,3,7,9,13,29,42,43,45,49,50",0.7063621965401999,"2,9,13,42",0.7092703125033099,"2,3,7,9,13,29,42,43,45,49,50",0.7095096839520155,"2,42,13,29,7,9,49,46,45,68,0,50,40,11,30,39,38,43,19,37,31,66,4,3,18,35,52",0.7092639575090964,"2,42,13,29,7,9,49,46,45,68,0,50",0.7132167639098467,"0,2,3,4,7,9,11,13,17,19,23,29,30,31,35,38,39,40,42,43,45,46,47,49,50,52,66,68",0.7144453961244421,"0,2,3,4,7,8,9,11,13,17,19,23,29,30,31,35,36,38,39,40,42,43,44,45,46,47,49,50,52,66,67,68",0.7126179822328484,
6,0.7122436054213078,"2,7,13,29,42,43,49",0.7110309928367147,"2,3,13,29,42,43,49",0.7122598631242781,"2,7,13,29,42,43,49",0.7111073333550103,"2,3,13,29,42,43,49",0.7160719410425005,"2,42,13,49,7,29,9,43,46,38,60,39,64,40,12,30,0,53,31,68,37,5,44,66,36,45,34,61,11,67,19,52",0.7137280043881661,"2,42,13,49,7,29,9,43,46,38,60",0.7165978423907589,"0,2,3,7,9,10,11,12,13,17,23,29,30,31,35,38,39,40,41,42,43,44,45,46,47,49,50,52,53,60,61,64,66,67,68",0.716209778089423,"0,2,3,4,5,7,8,9,10,11,12,13,14,16,17,23,26,29,30,31,32,35,38,39,40,42,43,44,45,46,47,48,49,50,52,53,60,61,64,66,68",0.71579202580875,
7,0.6995094277745796,"2,3,7,13,29,42,43,46",0.6990650663028487,"2,3,7,13,29,38,42,43,46",0.6994100498096557,"2,3,7,13,29,42,43,46",0.6992595631770567,"2,3,7,13,29,38,42,43,46,50",0.7038983846111802,"2,42,13,29,7,46,43,39,3,30,35,49,19,45,0,68,31,50,38,37,67,11,16,18,28,56,40,66,69,10",0.6988570824191153,"2,42,13,29,7,46,43,39,3,30,35",0.7076690685374332,"0,2,3,7,10,11,13,16,17,19,28,29,30,31,35,38,39,40,41,42,43,44,45,46,49,50,60,67,68,69",0.7106042677157194,"0,2,3,7,9,10,11,13,15,16,17,18,19,23,26,29,30,31,35,38,39,40,41,42,43,45,46,49,50,55,60,65,67,68,69",0.7022842025237744,
8,0.700084628964157,"2,7,13,29,42,45,46,49,68",0.7009934366635561,"2,3,7,13,29,42,45,46,49,68",0.7004869344323325,"2,7,13,29,42,49",0.702192935671391,"2,3,7,13,29,42,45,49,68",0.6982793758931782,"2,42,7,13,29,46,49,68,45,35,9,60,0,30,44,40,17,32,64,20,65,3,70,56,54,25,19,43",0.7005314388124818,"2,42,7,13,29,46,49,68,45,35,9,60",0.7047049606842655,"0,2,3,7,9,10,13,16,17,19,20,21,25,29,30,31,32,33,34,35,36,39,40,42,43,44,45,46,47,48,49,50,54,56,60,64,65,68,70",0.7075814977631251,"0,2,3,7,8,9,11,13,15,16,17,20,26,29,30,32,35,39,40,42,44,45,46,49,50,54,60,61,64,68,70",0.7034630765524787,
9,0.6941429350557689,"2,7,10,13,29,42,60",0.69449726057184,"2,3,7,10,13,29,38,42,60",0.6962054375064609,"2,9,13,42",0.6944131349965957,"2,3,7,10,13,29,38,42,60",0.6997280177376637,"2,42,13,10,7,39,29,60,38,9,30,49,46,40,68,44,35,11,31,0,34,3,18,23,52,37,36,67,19,16,4,55",0.6950013010947018,"2,42,13,10,7,39,29,60,38,9",0.7001429421850549,"0,2,3,4,7,9,10,11,13,14,23,29,30,31,34,35,38,39,40,42,43,44,46,47,49,52,60,68,69",0.7000217443224148,"0,2,3,4,6,7,8,9,10,11,13,14,15,16,17,18,19,23,29,30,31,34,35,36,38,39,40,42,43,44,46,47,49,51,52,55,60,63,65,66,67,68,69",0.7001714593292054,
