simulation,HarderLASSO_QUT_c_index,HarderLASSO_QUT_features,LASSO_QUT_c_index,LASSO_QUT_features,HarderLASSO_QUT_ANN_c_index,HarderLASSO_QUT_ANN_features,LASSO_QUT_ANN_c_index,LASSO_QUT_ANN_features,AIC_c_index,AIC_features,BIC_c_index,BIC_features,LASSO_CV_c_index,LASSO_CV_features,LassoNet_c_index,LassoNet_features,CoxPH_c_index,CoxPH_features
0,0.5990816962487073,"0,3,4,5,10,15,16",0.5989840326701967,"0,3,4,5,10,15,16",0.5914028641241493,"0,4,10,15",0.5910947049309196,"0,4,10,15",0.5973181634563646,"15,0,16,10,5,4,3,6,1,8,7,13,21",0.5992722333664555,"15,0,16,10,5,4,3",0.5977090838836999,"0,1,2,3,4,5,6,7,8,10,12,13,14,15,16,17,18,20,21,23",0.6033065108874932,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",,
1,0.5991932672012946,"0,3,4,5,10,15,16",0.598189309393074,"0,3,4,5,10,15",0.5887913114531571,"0,3,4,10,15",0.5898842999842965,"0,3,4,5,10,15",0.6004961233707644,"15,0,5,4,16,10,3,6,1,14,8",0.5990994455874564,"15,0,5,4,16,10,3",0.5996505311234905,"0,1,3,4,5,6,8,10,13,14,15,16,17,20,24,25",0.609163909686383,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",0.5985999952091091,
2,0.6054234546215552,"0,3,4,5,10,15,16",0.6057306426891238,"0,3,4,5,10,15,16",0.6023826124626706,"0,4,5,10,15",0.6028431281389864,"0,3,4,5,10,15,16",0.6061145611673253,"15,0,16,5,4,10,3,1,14,25",0.6039653103944929,"15,0,16,5,4,10",0.6062808103903633,"0,1,3,4,5,8,9,10,11,13,14,15,16,18,21,24,25",0.6122362092406327,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",0.6052673295499202,
3,0.596254568287687,"0,1,3,4,5,8,10,15,16",0.5955606797373126,"0,1,3,4,5,8,10,15",0.5924543104855893,"0,4,10,15",0.5935613195962782,"0,1,3,4,5,10,15",0.5962933315279222,"15,0,4,5,16,10,3,1,8,13,25",0.5962598783205959,"15,0,4,5,16,10,3,1,8",0.5966180400403032,"0,1,3,4,5,8,10,12,13,14,15,16,17,18,21,22,23,24,25",0.6040252704466136,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",0.5945726153637837,
4,0.6004457337898511,"0,1,4,5,8,10,15,16",0.6011236883285223,"0,4,5,8,10,15,16",0.5933257454302027,"0,4,10,15",0.593773451257627,"0,4,8,10,15",0.6005363409215918,"15,0,16,4,5,10,8,1,6,3,14,18,23",0.6004582588933565,"15,0,16,4,5,10,8,1",0.6007916398398492,"0,1,3,4,5,6,8,10,13,14,15,16,18,21,23,25",0.609286324932098,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",0.59960895027907,
5,0.6039091302321156,"0,3,4,5,8,10,15,16",0.6034579209352319,"0,3,4,5,8,10,15",0.5912615444150656,"0,10,15",0.5930659818306305,"0,4,10,15",0.6018337806781678,"15,0,16,5,4,10,8,3,9,14,25,12,11",0.6041018203216885,"15,0,16,5,4,10,8,3",0.602565096868746,"0,1,2,3,4,5,6,8,9,10,12,13,14,15,16,17,18,19,20,21,24,25",0.6076480642108408,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",0.6012402525599398,
6,0.5956379268775381,"0,3,4,5,8,10,15,16",0.5960619168974245,"0,3,4,5,8,10,15,16",0.5920228470810215,"0,3,4,8,10,15",0.5886074014568775,"0,3,4,8,10,15,16",0.5938808271713008,"15,0,16,4,8,10,3,5,1,14,18,17,21",0.5950484611288874,"15,0,16,4,8,10,3,5,1",0.5940615878067381,"0,1,2,3,4,5,6,8,10,11,13,14,15,16,17,18,21,24,25",0.6003313236117782,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",0.5917179464209527,
7,0.5942636276557415,"0,3,4,5,10,15,16",0.5950630496858633,"0,3,4,5,10,15,16",0.5906995155800749,"0,3,4,10,15",0.5907936513854207,"0,3,4,10,15",0.5960133286713697,"15,0,16,4,5,10,3,1,21,8,11",0.5948131304402706,"15,0,16,4,5,10,3",0.5955821946717803,"0,1,2,3,4,5,6,8,10,11,15,16,17,18,21,23,24,25",0.6015120846673677,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",0.594702617401463,
8,0.6113283494732361,"0,3,4,5,8,10,15,16",0.6116460040438437,"0,3,4,5,8,10,15,16",0.6065253538363308,"0,3,4,5,10,15",0.6075242098542087,"0,3,4,5,10,15",0.6119543471320634,"15,0,16,4,5,10,3,8,1,25",0.6107356071086517,"15,0,16,4,5,10,3",0.6115002128338831,"0,1,3,4,5,6,7,8,10,15,16,17,18,21,24,25",0.615976109396616,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",0.6111530275619879,
9,0.5995040858883521,"0,3,4,5,8,10,15,16",0.6000661643626848,"0,3,4,5,8,10,15,16",0.5961047988279455,"0,3,4,8,10,15",0.5963182665149382,"0,3,4,8,10,15",0.5960243501847132,"15,0,16,10,5,4,3,8,1,9,11,12,18,17",0.5999894328184797,"15,0,16,10,5,4,3,8",0.5975831422124916,"0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,20,21,22,25",0.6044905742333881,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",0.5967170581391459,
