simulation,HarderLASSO_QUT_c_index,HarderLASSO_QUT_features,LASSO_QUT_c_index,LASSO_QUT_features,HarderLASSO_QUT_ANN_c_index,HarderLASSO_QUT_ANN_features,LASSO_QUT_ANN_c_index,LASSO_QUT_ANN_features,AIC_c_index,AIC_features,BIC_c_index,BIC_features,LASSO_CV_c_index,LASSO_CV_features,LassoNet_c_index,LassoNet_features,CoxPH_c_index,CoxPH_features
0,0.7242795972688346,"1,4,8,12",0.723469505844231,"1,4,8,12",0.7245110519615785,"1,4,8,12",0.723469505844231,"1,4,8,12",0.7095243606064113,"1,4,8,12,7,6,5",0.7107394977433168,"1,4,8,12,7",0.7281564633722949,"0,1,2,3,4,5,6,7,8,11,12",0.7304710102997338,"0,1,2,3,4,5,6,7,8,11,12",0.7158893646568684,
1,0.757543359467807,"1,4,12",0.7676407697790449,"1,3,4,6,8,12",0.7571869802803516,"1,4,12",0.7662746495604656,"1,3,4,6,8,12",0.7536231884057971,"1,4,12,3,8,6,7",0.7536231884057971,"1,4,12,3,8,6,7",0.7590876692801141,"0,1,2,3,4,6,7,8,10,11,12",0.758256117842718,"0,1,2,3,4,6,7,8,10,11,12",0.7510097410311238,
2,0.732655921513665,"1,4,8,12,13",0.7398972202756365,"1,3,4,6,8,12,13",0.7238378883438449,"1,4,12,13",0.746087362765709,"1,3,4,6,8,12",0.7330063069376314,"1,4,13,12,8,3",0.7330063069376314,"1,4,13,12,8,3",0.7435178696566223,"1,3,4,6,8,12,13",0.7436346647979444,"1,3,4,6,8,12,13",0.7400140154169587,
3,0.7527445718467919,"1,4,12",0.776774823127592,"1,3,4,8,12",0.753232495730666,"1,4,12",0.7763478897292022,"1,3,4,8,12",0.7877531105147597,"1,4,12,8,3,7,6",0.7764088802146865,"1,4,12,8,3",0.7766528421566236,"1,3,4,6,8,10,12",0.7771407660404976,"1,3,4,6,7,8,10,11,12,13",0.7856794340082947,
4,0.7460186386693406,"1,4,8",0.7529786481066415,"1,3,4,8",0.7456647398843931,"1,4,8",0.752624749321694,"1,3,4,8",0.7768078329597735,"1,4,8,6,3,12",0.7630057803468208,"1,4,8,6,3",0.7553379733396248,"1,3,4,6,8",0.756163737171169,"1,3,4,6,8",0.7703196885690693,
5,0.7521101992966003,"1,4,8,12",0.7630715123094959,"1,3,4,8,12",0.7256740914419695,"1,4,8,12",0.7636576787807737,"1,3,4,8,12",0.7637749120750293,"1,8,12,6,4,3,7",0.7617819460726847,"1,8,12,6,4,3",0.7675263774912076,"1,2,3,4,6,7,8,12",0.7688159437280188,"1,2,3,4,6,7,8,9,12",0.7592028135990622,
6,0.7644613374510036,"1,4,8,12",0.762679653165459,"1,4,8",0.7523458843093004,"1,4,8",0.7539494001662905,"1,4,8",0.7768143484974462,"1,4,8,12,6,7,10,3",0.7712317377360731,"1,4,8,12,6,7",0.7790711485924694,"1,3,4,6,7,8,10,12",0.7769331274498159,"1,3,4,6,7,8,10,12",0.7759828958308588,
7,0.7768507638072856,"1,4,8,12",0.7768507638072856,"1,4,8",0.7765569917743831,"1,4,8",0.7797297297297298,"1,4,8,12",0.7804935370152761,"1,4,8,12,6,13,7,3,11",0.790834312573443,"1,4,8,12,6",0.781433607520564,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",0.7941245593419507,"1,3,4,6,7,8,11,12,13",0.7783783783783784,
8,0.759327442317133,"1,4,6,8,12",0.7697594501718213,"1,3,4,6,8,12",0.7452135493372607,"1,4,6,8",0.7539273441335297,"1,3,4,6,8,12",0.7671821305841925,"1,4,6,8,12,3,7",0.7692685321551301,"1,4,6,8,12,3",0.7716003927344134,"1,3,4,6,8,12",0.7695139911634757,"1,3,4,6,7,8,12",0.7614138438880707,
9,0.6846153846153846,"1,4,10,11,12",0.7143384615384616,"1,3,4,8,10,11,12",0.6846153846153846,"1,4,10,11,12",0.7129846153846154,"1,3,4,8,10,11,12",0.7152,"1,4,11,12,3,8,10",0.7249230769230769,"1,4,11,12,3,8",0.7228307692307693,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",0.7218461538461538,"0,1,3,4,6,7,8,10,11,12",0.7252923076923077,
10,0.7394148870509814,"1,3,4",0.7399086532526848,"1,3,4",0.735896802863844,"1,4",0.7393531662757684,"1,3,4",0.7664485865942476,"1,4,3,12,8,6,13,7",0.7478089124799407,"1,4,3,12",0.7548450808542155,"1,3,4,6,8,12",0.7534872237995309,"1,3,4,6,8,12",0.7610171583755092,
11,0.744299674267101,"1,4,6,8,12",0.7436016751977664,"1,4,6,8,12",0.7351093531875291,"1,4,6,12",0.7444160074453234,"1,4,6,8,12",0.753257328990228,"1,4,12,6,8,10,3",0.7441833410888785,"1,4,12,6,8",0.7538389948813402,"1,3,4,6,8,10,11,12",0.7520939972080037,"1,2,3,4,6,7,8,9,10,12",0.750814332247557,
12,0.7685714285714286,"1,3,4,8",0.7691666666666667,"1,3,4,8",0.7651190476190476,"1,3,4",0.7617261904761905,"1,3,4,8",0.7802380952380953,"1,4,3,8,12,6,11,7",0.7783333333333333,"1,4,3,8,12,6",0.7778571428571428,"1,3,4,6,8,11,12,13",0.7776190476190477,"1,3,4,6,8,11,12,13",0.7769047619047619,
13,0.8010468054385754,"1,4,8,12",0.8136205029479003,"1,3,4,8,12",0.8023703525448201,"1,4,8,12",0.8120563109132475,"1,3,4,8,12",0.8157863073035736,"1,4,12,8,6,3,11,7",0.8090482493081458,"1,4,12,8,6",0.8135001804836963,"1,3,4,6,7,8,11,12",0.8135001804836963,"1,3,4,6,8,11,12",0.81301889062688,
14,0.7532562385879489,"1,4,8",0.7534996956786366,"1,4,8",0.7421180766889836,"1,4,8",0.7520389531345101,"1,4,8",0.7776019476567255,"1,8,4,3,12,13,10",0.7536214242239805,"1,8,4",0.7595861229458308,"1,3,4,8",0.7761412051125989,"0,1,2,3,4,5,6,7,8,9,10,12,13",0.7817407181984175,
15,0.7823454058460464,"1,3,4",0.7823454058460464,"1,3,4",0.7818213578665425,"1,4",0.7816466752067078,"1,3,4",0.7928263654361244,"1,4,3,12,11,8,13",0.7821124956329335,"1,4,3",0.79492255735414,"1,3,4,6,7,8,11,12,13",0.7920111796902294,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",0.7982997554442762,
16,0.7615174542863927,"1,4,8",0.7687010211351223,"1,4,6,8",0.762407979102351,"1,4",0.7662075516504393,"1,4,6,8",0.7840180479696034,"1,4,6,8,12,7,3,10",0.7861553075279031,"1,4,6,8,12",0.7836618380432201,"1,3,4,6,7,8,10,11,12",0.7716694371883163,"1,3,4,6,8,10,12",0.7882925670862028,
17,0.7541013712047012,"1,4,8",0.753856513222331,"1,4,8",0.7532443682664055,"1,4,8",0.7652424094025465,"1,4,6,8",0.7544074436826641,"1,4,8,12,6,2,7,11",0.7660381978452497,"1,4,8,12,6,2",0.7670176297747306,"0,1,2,3,4,6,7,8,9,10,11,12",0.7699559255631734,"1,2,3,4,6,7,8,11,12",0.7665279138099902,
18,0.7542840375586854,"1,4,12",0.7573356807511737,"1,4,6,12",0.7522887323943662,"1,4,12",0.7586267605633803,"1,4,6,12",0.7761737089201878,"1,4,12,6,8,7,3",0.7669014084507042,"1,4,12,6,8",0.7684272300469484,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",0.7665492957746479,"0,1,2,3,4,5,6,7,8,11,12",0.7692488262910798,
19,0.7311647931116958,"1,4,8",0.7485051423104521,"1,3,4,6,8",0.7378617555608706,"1,4",0.7458143984692657,"1,3,4,6,8",0.7523319779956948,"1,4,8,6,3,12,13,7",0.747070078928486,"1,4,8,6,3",0.7476680220043052,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",0.750777325998565,"1,3,4,6,8,11,12",0.7465917244678306,
20,0.6840533895328416,"1,4,10",0.6726378644186863,"1,4,10,11",0.7048354993560473,"1,4",0.6774967802365063,"1,4,10,11",0.7136166725207821,"1,4,10,11,12,7,3,6,8",0.6812434141201265,"1,4,10,11,12",0.7086992155485307,"1,3,4,6,7,8,10,11,12",0.7094017094017094,"1,3,4,6,7,8,9,10,11,12",0.7086992155485307,
21,0.7948422330097087,"1,4,8,12",0.7995145631067961,"1,3,4,8,12",0.7950849514563106,"1,4",0.7980582524271844,"1,3,4,8,12",0.8033980582524272,"1,4,12,3,8,6",0.8033980582524272,"1,4,12,3,8,6",0.8015776699029126,"1,2,3,4,6,8,11,12,13",0.8006067961165049,"1,2,3,4,6,8,11,12",0.8024271844660195,
22,0.7337746778579028,"1,4,12",0.7380896087007921,"1,3,4,11,12",0.7337746778579028,"1,4,12",0.7385624778342593,"1,3,4,11,12",0.7386215864759428,"1,4,12,11,3,7,8,5",0.7382078259841589,"1,4,12,11,3",0.7490247074122237,"0,1,2,3,4,5,6,7,8,11,12",0.746778579028254,"0,1,2,3,4,5,6,7,8,9,10,11,12",0.7401584111597116,
23,0.7158733993718289,"1,3,4",0.7162358057501812,"1,3,4",0.7159942014979463,"1,3,4",0.710437303696545,"1,3,4",0.7231215269388741,"1,4,3,7,12,8,10",0.730007248127567,"1,4,3,7,12,8",0.7252959652089876,"0,1,2,3,4,5,6,7,8,10,12",0.7272287992268663,"0,1,3,4,6,7,8,10,12",0.7231215269388741,
24,0.7772283056634876,"1,4,6",0.7778170257859414,"1,4,6",0.7826445307900624,"1,4",0.7773460496879784,"1,4,6",0.8016013187330743,"1,4,6,8,12,7,3",0.784292947132933,"1,4,6,8",0.8006593665371482,"1,2,3,4,6,7,8,9,10,11,12",0.7966560697044625,"1,2,3,4,6,7,8,9,11,12",0.8014835747085836,
25,0.7524006320651513,"1,4,12",0.7566549167375715,"1,3,4,6,8,12",0.7513674486447065,"1,4,12",0.7557432843077672,"1,3,4,6,8,12",0.7528868360277137,"1,4,12,3,11,6,8",0.7468092864956849,"1,4,12,3,11",0.7544669989060411,"0,1,2,3,4,6,8,9,11,12,13",0.7578704266439772,"1,3,4,6,8,11,12",0.7528868360277137,
26,0.7708485290542183,"1,4,12",0.7868952103087771,"1,3,4,8,11,12",0.7695113056163384,"1,4",0.787685387794797,"1,3,4,8,11,12",0.788232433746657,"1,4,12,11,3,8,7",0.787381473377097,"1,4,12,11,3,8",0.7859226841721372,"1,3,4,6,7,8,10,11,12",0.7870167760758571,"1,3,4,7,8,10,11,12",0.7868952103087771,
27,0.7614316495092172,"1,3,4",0.7662197749581039,"1,3,4,6",0.7663394780943261,"1,4",0.7664591812305482,"1,3,4,6",0.7827388077567632,"1,4,3,12,6,8,2",0.7722049317692123,"1,4,3,12",0.7813023701220972,"1,2,3,4,6,8,11,12",0.7792674168063203,"1,2,3,4,6,8,11,12",0.7851328704812066,
28,0.759074238016947,"1,4,6,8",0.7651448083976223,"1,3,4,6,8",0.7540154293663842,"1,4,6,8",0.7614771721259643,"1,3,4,6,8",0.77905653218667,"1,4,8,6,12,3",0.77905653218667,"1,4,8,6,12,3",0.7739977235361073,"0,1,3,4,6,8,11,12",0.775515366131276,"0,1,3,4,6,8,11,12",0.7799418237005186,
29,0.7881686149486362,"1,4,8",0.7933640335340654,"1,3,4,8",0.7875782264730192,"1,4,8",0.7835045459912623,"1,3,4,8",0.8042271814854174,"1,4,3,8,12,6,11,7",0.8087141339001063,"1,4,3,8,12,6",0.8042271814854174,"1,3,4,6,8,11,12",0.8018656275829495,"1,3,4,6,7,8,9,11,12",0.7967882866926438,
30,0.7204742897393754,"1,4,6,8,12",0.7238788447992487,"1,3,4,6,8,12",0.716247945527119,"1,4,8,12",0.7231157548720357,"1,3,4,6,8,12",0.7135477811692885,"1,8,12,6,4,3,13",0.720356891289035,"1,8,12,6,4",0.7168349377788213,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",0.7274007983094624,"1,3,4,6,8,11,12",0.7141347734209909,
31,0.7397081504330288,"1,3,4,8,12",0.7322339542057184,"1,3,4,6,8,11,12",0.7424368252461739,"1,3,4,12",0.7357930952663424,"1,3,4,6,8,11,12",0.732827144382489,"1,4,3,12,8,11,6",0.732827144382489,"1,4,3,12,8,11,6",0.7408945307865702,"1,3,4,6,8,11,12",0.7400640645390912,"1,3,4,6,8,11,12",0.7338948867006763,
32,0.776548137397194,"1,4,8,12",0.7783018867924528,"1,4,6,8,12",0.7627600387034349,"1,4,12",0.7760038703434929,"1,4,6,8,12",0.7750362844702468,"1,4,12,11,6,8,7",0.7750362844702468,"1,4,12,11,6,8",0.7843492985002419,"1,3,4,6,8,10,11,12",0.774915336236091,"1,4,6,8,12",0.7747943880019351,
33,0.752310974164494,"1,4,6,8",0.7608438018487793,"1,3,4,6,8,12",0.7427707987674804,"1,4",0.7587698506755155,"1,3,4,6,8,12",0.7613178478312397,"1,4,6,8,12,3,7",0.7608438018487793,"1,4,6,8,12,3",0.7622659397961602,"1,3,4,6,8,12",0.7604882673619341,"1,3,4,6,7,8,12",0.7610808248400095,
