simulation,selected_columns
0,"59,41,76,97,13"
1,"10,60,51,28,41"
2,"44,54,10,92,17"
3,"53,56,62,88,47"
4,"13,43,89,68,53"
5,"97,37,26,3,6"
6,"25,43,56,60,99"
7,"50,58,32,48,61"
8,"47,61,10,56,84"
9,"10,74,25,29,99"
10,"99,14,35,58,46"
11,"2,79,92,52,51"
12,"55,3,47,16,29"
13,"68,71,58,50,26"
14,"66,44,79,97,12"
15,"91,17,44,24,65"
16,"96,63,89,90,45"
17,"63,78,32,40,4"
18,"2,69,14,37,65"
19,"22,63,27,51,36"
20,"80,22,35,88,48"
21,"93,27,13,34,49"
22,"80,51,69,53,20"
23,"85,19,4,49,31"
24,"30,75,73,32,28"
25,"24,46,40,17,53"
26,"60,82,41,45,25"
27,"5,37,91,33,14"
28,"72,38,24,64,10"
29,"57,60,94,37,47"
30,"73,52,33,21,97"
31,"57,50,6,34,62"
32,"23,8,4,88,52"
33,"4,26,62,74,64"
34,"45,24,32,74,53"
35,"11,42,82,55,88"
36,"32,55,10,4,16"
37,"13,85,20,84,52"
38,"87,73,91,72,14"
39,"59,4,40,15,70"
40,"24,89,12,95,36"
41,"20,37,73,76,11"
42,"23,85,78,11,6"
43,"19,4,48,36,60"
44,"39,56,3,74,86"
45,"39,90,89,85,24"
46,"21,10,38,35,74"
47,"81,69,5,52,62"
48,"30,71,65,77,70"
49,"65,15,0,4,73"
50,"53,32,46,24,64"
51,"91,52,69,75,43"
52,"57,88,73,59,8"
53,"96,83,91,68,8"
54,"51,71,47,43,45"
55,"0,22,87,75,46"
56,"91,7,11,44,95"
57,"60,55,46,21,32"
58,"89,2,11,25,47"
59,"97,52,40,11,23"
60,"9,62,6,55,84"
61,"41,66,51,73,46"
62,"17,37,42,88,52"
63,"54,56,66,85,70"
64,"7,84,29,26,77"
65,"60,90,97,53,98"
66,"14,31,20,32,72"
67,"26,69,24,95,4"
68,"98,24,66,23,15"
69,"2,57,65,89,52"
70,"67,96,48,19,75"
71,"36,30,61,42,60"
72,"33,6,13,97,52"
73,"96,55,81,86,46"
74,"13,39,36,50,49"
75,"63,64,20,70,26"
76,"31,41,54,80,86"
77,"30,53,90,93,66"
78,"76,55,22,94,92"
79,"3,12,89,63,79"
80,"26,99,53,79,55"
81,"69,87,39,11,74"
82,"7,73,38,40,82"
83,"21,46,11,76,28"
84,"78,82,9,38,30"
85,"47,4,41,83,49"
86,"23,84,89,3,35"
87,"3,59,64,20,60"
88,"50,7,98,62,25"
89,"22,70,84,99,54"
90,"91,41,17,66,47"
91,"57,36,54,61,63"
92,"5,67,24,66,28"
93,"60,84,42,32,56"
94,"21,93,45,16,13"
95,"19,99,28,97,18"
96,"95,75,56,33,23"
