simulation,LASSO_CV_c_index,LASSO_CV_features,AIC_Cox_c_index,AIC_Cox_features,BIC_Cox_c_index,BIC_Cox_features,LASSO_QUT_c_index,LASSO_QUT_features,HarderLASSO_QUT_c_index,HarderLASSO_QUT_features
0,0.9018844083067795,"0,10,23,26,31,38,44,53,70,79,84,93",0.8667234369849467,"70,10,79,26,31,0,38,93,44,88,46,47,28,8,61,11,12,94,82,84,91,68,57,4,86,17,96,15,36,3,5,80,87,97,14,62,99,34,90,60,18,39,35,83",0.9203219426436655,"70,10,79,26,31,0,38,93,44,88,46,47,28",0.851277332161301,"10,26,31,70,79",0.894646192726074,"0,10,26,31,38,70,79"
1,0.9389527124277078,"2,6,11,14,20,22,24,26,29,32,33,35,36,37,40,43,44,46,48,52,67,68,83,84,89,92,96",0.9071245387695287,"26,20,29,48,67,36,68,37,11,6,14,46,24,90,43,53,56,40,4,49,33,83,31,23,98,51,10,35,8,1,15,95,85,72,74,13,50,75,16,52,87,89,99",0.9223405647292806,"26,20,29,48,67,36,68,37,11,6,14,46,24,90,43,53,56,40,4,49,33,83,31,23,98",0.8582419595425641,"20,26,29,48",0.9286499358856933,"20,26,29,36,37,48,67,68"
2,0.9227196346726065,"0,2,5,9,10,11,13,14,15,16,17,19,20,22,23,25,28,29,30,31,33,38,40,42,43,45,46,48,49,50,53,55,56,58,61,63,64,66,67,68,70,78,80,85,87,88,91,93,95,97,98",0.8615228301707727,"40,64,42,97,9,80,78,15,23,5,58,31,66,91,29,20,88,85,34,61,84,46,16,25,60,92,24,10,41,99,39,73,45,70,68,19,0,12,22,94,28,83,81,77,3,13,4,14,49,79,59,2",0.9305046140447839,"40,64,42,97,9,80,78,15,23,5,58,31,66,91",0.8022213290012115,"40,64,97",0.875565939249806,"9,40,42,64,97"
3,0.9455926706459876,"1,2,7,10,13,25,26,36,38,39,41,64,67,71,72,77,79,82,85,86,88,91",0.9157957169718461,"85,77,39,26,1,71,64,82,2,79,9,75,86,11,7,88,45,53,50,83,37,12,81,48,43,25,18,74,80,23,19,20,29",0.9284378430902414,"85,77,39,26,1,71,64,82,2,79,9,75,86,11,7,88,45,53,50,83,37",0.8649066794543366,"26,39,71,77,85",0.9462715949673788,"1,2,26,39,64,71,77,82,85"
4,0.9354894786278056,"2,4,5,9,11,13,14,21,30,31,34,35,36,44,46,53,54,69,71,74,80,87,92,96",0.8548681498927535,"13,54,35,74,21,11,87,9,31,71,69,30,46,34,24,79,58,92,10,49,91,82,18,19,83,4,6,12,23,25,61,90,80,22,37,70,45,73,63,41,27,94,65,36,77,14,89,97,44,64,32,51",0.9338800801895389,"13,54,35,74,21,11,87,9,31,71,69,30,46,34,24",0.8424724173220619,"13,21,35,54",0.9431299154645245,"9,11,13,21,31,35,54,74,87"
5,0.9460280886548168,"3,4,5,10,13,14,16,17,19,22,23,25,34,35,36,37,41,46,47,48,52,66,67,69,75,96,98",0.916595347816546,"34,10,47,5,98,17,75,48,14,36,69,19,51,44,54,41,31,87,65,15,80,56,27,38,79,76,55,60,62,63,89,52,91,49,58,11,50",0.944269804696072,"34,10,47,5,98,17,75,48,14,36,69,19",0.8662881281544876,"5,10,34,47",0.9448787579547948,"5,10,17,34,47,48,75,98"
6,0.9442135159526464,"1,11,18,20,24,35,41,44,45,47,48,52,53,57,67,70,77,80,84,91,94",0.9307068535329405,"70,84,18,94,80,48,67,41,57,8,14,36,71,24,77,92,31,93,26,95,66,17,56,43,86,19,91,38,23,11,89",0.9416679938419069,"70,84,18,94,80,48,67,41,57,8,14,36,71,24,77",0.8554016032276902,"18,70,80,84",0.9377581355842225,"18,41,48,67,70,80,84,94"
7,0.9312576815075492,"2,3,8,19,27,29,30,31,34,36,40,41,42,43,46,52,58,63,67,83,84,87,91",0.9021176464000851,"83,46,30,8,52,43,19,36,91,62,53,25,66,12,28,44,93,94,21,86,70,69,24,61,92,1,73,23,17,88,51,84,71,72,13,40,87,15,65",0.9228055735199012,"83,46,30,8,52,43,19,36,91,62,53,25,66,12,28,44,93,94,21",0.8474729065004801,"8,30,46,52,83",0.8939776980814079,"8,30,43,46,52,83"
8,0.9433635970600951,"0,6,7,12,17,25,34,42,44,47,48,55,56,58,63,65,66,68,70,77,78,80,85,89,92,98",0.893529326992362,"63,56,7,78,0,47,89,55,70,17,58,66,24,96,8,34,93,65,5,15,26,48,43,10,76,90,29,94,68,84,95,97,38,80,27,99,53,51,87,25,39,73,41,45,19,37,13",0.9402586173014189,"63,56,7,78,0,47,89,55,70,17,58,66,24",0.8542939118814605,"7,56,63,78",0.8976640595317638,"0,7,56,63,78"
9,0.9352497841048858,"0,5,6,8,9,12,13,17,21,26,27,28,31,37,38,45,50,57,58,59,61,65,66,71,75,81,83,86,87,93,96,98",0.9195771072671604,"28,50,26,93,27,98,38,81,66,35,17,97,58,75,36,71,61,59,65,7,51,74,5,77,92,3,48,53,83,31,96,18",0.9452516159422186,"28,50,26,93,27,98,38,81,66,35,17,97,58",0.806953131133384,"26,28,50,93",0.9354146494648418,"26,27,28,38,50,81,93,98"
