simulation,selected_columns
0,"9,24,20,30"
1,"43,41,36,28"
2,"8,10,23,20"
3,"34,3,38,25"
4,"30,49,20,16"
5,"28,37,8,22"
6,"4,35,49,32"
7,"47,16,20,19"
8,"33,31,2,21"
9,"11,8,29,12"
10,"48,23,17,26"
11,"47,40,7,43"
12,"2,19,30,11"
13,"23,36,32,13"
14,"35,2,30,16"
15,"34,25,11,15"
16,"5,28,49,10"
17,"23,43,9,12"
18,"14,4,37,0"
19,"38,17,12,42"
20,"15,42,40,19"
21,"40,48,17,28"
22,"29,36,2,20"
23,"38,36,48,17"
24,"39,7,17,8"
25,"14,24,0,42"
26,"14,41,49,20"
27,"49,38,24,47"
28,"42,14,2,43"
29,"46,5,9,17"
30,"43,45,18,1"
31,"34,5,32,29"
32,"12,8,23,38"
33,"32,26,19,46"
34,"9,31,20,1"
35,"28,24,47,35"
36,"48,11,1,42"
37,"22,42,49,5"
38,"16,46,21,45"
39,"37,10,15,17"
40,"14,5,10,27"
41,"16,23,9,29"
42,"5,43,26,19"
43,"33,4,5,18"
44,"43,28,32,11"
45,"33,5,28,36"
46,"22,33,41,37"
47,"12,34,24,39"
48,"35,40,38,29"
49,"34,10,36,7"
50,"6,27,3,30"
51,"47,49,43,35"
52,"49,9,2,10"
53,"28,47,17,10"
54,"31,8,35,40"
55,"49,48,33,17"
56,"3,49,15,20"
57,"37,28,33,18"
58,"5,25,35,30"
59,"15,31,12,36"
60,"32,27,20,18"
61,"31,29,27,6"
62,"8,22,38,34"
63,"19,33,0,4"
64,"48,1,11,38"
65,"36,34,2,16"
66,"48,10,47,23"
67,"32,4,5,23"
68,"17,23,47,39"
69,"39,1,2,49"
70,"19,21,45,4"
71,"46,35,25,21"
72,"13,46,42,39"
73,"30,24,42,8"
74,"31,13,34,8"
75,"28,3,20,25"
76,"48,43,35,21"
77,"46,20,45,26"
78,"30,34,47,36"
79,"28,30,1,17"
80,"44,43,15,34"
81,"4,42,18,46"
82,"23,34,46,42"
83,"38,41,48,13"
84,"47,24,0,2"
85,"5,11,40,25"
86,"22,7,29,10"
87,"31,19,2,25"
88,"33,11,5,40"
89,"12,37,38,24"
90,"26,1,9,32"
91,"9,28,38,37"
92,"14,40,10,3"
93,"0,47,5,22"
94,"40,32,21,10"
95,"49,3,39,14"
96,"20,36,23,8"
97,"48,12,43,1"
98,"39,40,13,44"
99,"38,2,29,15"
100,"34,36,6,41"
101,"16,15,10,39"
102,"39,15,40,0"
103,"7,2,41,16"
104,"16,35,38,43"
105,"28,43,42,4"
106,"18,27,49,26"
107,"41,49,38,8"
108,"21,20,30,0"
109,"23,28,40,26"
110,"30,47,14,43"
111,"45,21,44,26"
112,"49,45,12,11"
113,"5,17,40,21"
114,"45,30,19,15"
115,"31,5,48,17"
116,"13,27,31,42"
117,"14,31,10,38"
118,"36,0,23,3"
119,"23,20,4,42"
120,"14,33,2,36"
121,"24,6,44,2"
122,"20,34,4,27"
123,"1,16,5,6"
124,"45,33,22,34"
125,"1,30,33,6"
126,"36,11,22,44"
127,"26,42,13,17"
128,"21,14,13,41"
129,"16,30,35,28"
130,"28,18,43,32"
131,"12,23,0,41"
132,"26,31,45,17"
133,"2,44,35,30"
134,"12,6,18,15"
135,"29,1,49,37"
136,"30,23,28,11"
137,"37,27,29,40"
138,"30,38,4,44"
139,"31,9,29,6"
140,"6,37,14,13"
141,"33,32,7,37"
142,"14,15,24,23"
143,"17,26,10,13"
144,"1,36,30,27"
145,"39,10,1,15"
146,"20,32,6,10"
147,"10,3,45,20"
148,"47,20,46,19"
149,"1,6,11,48"
150,"22,14,3,31"
151,"27,16,38,25"
152,"40,20,39,32"
153,"33,39,24,40"
154,"11,35,46,48"
155,"47,45,11,29"
156,"11,8,23,12"
157,"9,22,8,27"
158,"21,11,18,10"
159,"6,14,33,12"
160,"8,14,46,0"
161,"21,40,46,44"
162,"19,40,17,46"
163,"10,29,39,18"
164,"15,11,35,1"
165,"12,30,36,20"
166,"22,43,24,10"
167,"47,33,12,24"
168,"18,11,27,6"
169,"23,49,12,8"
170,"38,12,1,22"
171,"32,14,30,48"
172,"44,17,34,11"
173,"5,12,39,3"
174,"1,36,31,32"
175,"28,9,45,14"
176,"5,39,9,6"
177,"21,49,44,7"
178,"33,39,7,22"
179,"20,23,49,42"
180,"23,42,25,16"
181,"46,2,8,0"
182,"30,49,36,46"
183,"13,17,28,3"
184,"10,12,38,1"
185,"34,32,4,23"
186,"13,22,6,0"
187,"11,25,42,47"
188,"19,49,37,45"
189,"25,48,28,22"
190,"40,2,25,11"
191,"47,19,32,10"
192,"15,23,8,36"
193,"0,33,39,23"
194,"43,3,5,20"
195,"7,34,17,44"
196,"48,25,46,45"
197,"19,49,27,48"
198,"25,0,28,38"
199,"14,27,12,26"
