simulation,LassoNet_c_index,LassoNet_features,GBoost_c_index,GBoost_features,LASSO_QUT_c_index,LASSO_QUT_features,HarderLASSO_QUT_c_index,HarderLASSO_QUT_features
0,0.6207366397617305,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,26,27,28,30,31,32,33,34,35,36,37,38,39,40,41,42,43,46,47,49",0.6711207125798094,"0,2,5,6,8,9,10,14,20,30,35,37,46,49",0.5,,0.5,
1,0.6434817572354259,"0,1,2,4,8,9,10,11,12,13,14,15,16,17,23,25,27,29,31,36,40,41,48,49",0.7242633282001767,"2,5,6,7,11,15,21,25,30,37,48,49",0.5,,0.5,
2,0.6040245681903017,"0,1,2,3,8,11,12,14,15,18,19,23,24,25,29,32,34,36,37,38,39,41,42,45,46,47,48",0.7463827698990073,"2,3,4,8,10,13,15,20,21,22,23,24,28,34,35,37,45",0.5,,0.5,
3,0.6006426210511068,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",0.7259142206244485,"10,13,15,16,17,19,23,26,30,31,32,41,44,47",0.5,,0.5,
4,0.6040111686928935,"0,1,2,3,4,5,7,9,10,11,12,13,14,15,18,24,25,26,28,30,32,34,35,37,38,39,42,43,44,46,47,49",0.7185649642015145,"0,1,3,11,15,16,18,22,26,29,38,43,49",0.5,,0.5,
5,0.6163482450375026,"2,9,10,11,12,16,17,19,26,30,31,35,36,37,38,39,44,45,48",0.7147237446722086,"2,8,17,18,21,24,26,30,31,35,41,44,45,49",0.5,,0.5,
6,0.6571448032763156,"0,1,2,3,4,5,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,30,31,32,33,34,35,36,37,38,40,41,43,44,45,46,47,48,49",0.7441627145966901,"7,19,21,25,29,31,34,36,40,43,44,45,48,49",0.5,,0.5,
7,0.6554449545633066,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",0.7168501740272756,"1,7,9,12,16,17,21,25,27,32,43,44",0.5,,0.5,
8,0.6449818452005439,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",0.7230797269069549,"0,10,11,18,21,25,28,29,30,36,39,40,42",0.5,,0.5,
9,0.6275246643812316,"3,4,8,16,18,24,25,29,37,38,41,42,47,48,49",0.7030761782639416,"3,9,13,16,18,19,23,25,26,33,37,42,46,47,49",0.5,,0.5,
10,0.68558600557202,"0,1,3,4,5,6,7,8,9,10,11,12,13,15,17,18,19,20,21,22,23,24,25,26,27,28,29,30,33,35,36,37,38,39,41,42,43,44,45,46,47,48,49",0.7101051136048305,"4,15,19,27,28,30,33,34,36,37,44,46,48",0.5,,0.5,
11,0.6602277138051494,"0,1,2,4,5,6,8,10,11,12,13,14,15,16,19,20,21,22,23,24,25,26,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,47,48,49",0.6858610428257214,"5,11,13,20,23,24,26,34,36,40,43,47",0.5,,0.5,
12,0.6542797999327505,"1,2,3,4,5,6,7,8,11,12,13,14,15,16,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,36,38,39,40,41,42,43,44,45,46,47,48,49",0.7097816492938803,"1,11,13,16,19,22,23,26,27,41,42,44,46,47,48",0.5,,0.5,
